url,headline,date,author,fulltext
https://www.afd.de/stephan-brandner-linker-strassenterror-wie-in-leipzig-darf-sich-nicht-wiederholen/,Stephan Brandner: Linker Straßenterror wie in Leipzig darf sich nicht wiederholen,3. Juni 2023,Stephan Brandner,"Am Mittwoch wurden Lina Engel und drei weitere Mitglieder der linken sogenannten „Hammerbande“ wegen Gewaltverbrechen und der Mitgliedschaft in einer kriminellen Vereinigung zu mehrjährigen Haftstrafen verurteilt. Obwohl die Verurteilten trotzdem sofort auf freien Fuß kamen, kam es zu Ausschreitungen durch militante linke Gruppen. Der Höhepunkt dieser Gewalttätigkeiten ist heute („Tag X“), insbesondere in Leipzig. Es wird angedroht, einen Millionenschaden anzurichten, entsprechend der Jahre, die Lina Engel im Gefängnis verbringen soll.
Klartext dazu kommt vom stellvertretenden Bundessprecher der AfD, Stephan Brandner:
„Selbst das relativ milde Urteil gegen Lina Engel genügte nicht, um die linksradikale Szene in Deutschland zu besänftigen. Zur Erinnerung: Lina Engel war Anführerin der ‚Hammerbande‘, die, soweit bekannt, 13 Menschen angegriffen und ihnen schwere körperliche Verletzungen zugefügt hat: gebrochene Gliedmaßen, Säureattentate, lebenslanges Leid. Mit diesen brutalen Aktionen hat die Gruppe Angst und Schrecken verbreitet, um politische Ziele zu erreichen. Gleiches gilt für die bereits vor Monaten angekündigten Randalen an diesem Samstag.
Seit Tagen werden von linken Journalisten und Politikern sowohl die bisherigen Taten der ‚Hammerbande‘ als auch der heutige Straßenterror mit vielen verletzten Polizisten und hohem Sachschaden verharmlost. Sowas muss sofort aufhören und darf sich nicht wiederholen. Der Staat, der das Gewaltmonopol innehat, darf vor den Extremisten nicht zurückweichen – weder vor Gericht noch auf der Straße! Jedes Anzeichen dafür, dass man vor den erpresserischen Taktiken von Terroristen zurückweicht, ist ein weiterer Schritt in die falsche Richtung. In Deutschland muss endlich wieder Recht und Ordnung einkehren. Dafür kämpft und steht nur die Alternative für Deutschland.“
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA"
https://www.afd.de/alice-weidel-die-ampel-regierung-hat-das-vertrauen-der-buerger-verspielt-deutschland-braucht-neuwahlen/,Alice Weidel: Die Ampel-Regierung hat das Vertrauen der Bürger verspielt. Deutschland braucht Neuwahlen!,2. Juni 2023,Alice Weidel,"Im jüngsten ARD-Deutschlandtrend erreicht die AfD erneut 18 Prozent und liegt damit gleichauf mit der SPD. Darüber hinaus sind nur noch 20 Prozent der Deutschen mit der Arbeit der Bundesregierung einverstanden. 79 Prozent der Bevölkerung sind unzufrieden.
Die AfD-Bundessprecherin, Alice Weidel, kommentiert die Umfragewerte:
„Es ist ermutigend zu sehen, dass auch ständige Angriffe auf die AfD, wie beispielsweise die gestrigen Diffamierungs-Versuche von Innenministerin Nancy Faeser, unseren Rückhalt in der Bevölkerung und das dort kontinuierlich wachsende Vertrauen in unsere politische Arbeit nicht erschüttern können. Keine politische Kampagne der Altparteien wird uns aus der politischen Debatte heraushalten. Wir werden uns auch weiterhin mit aller Kraft für ein sicheres, wohlhabendes und freies Deutschland einsetzen – die AfD bleibt auf Erfolgskurs!
Die schwindende Zustimmung der Ampel-Regierung zeigt ganz deutlich, dass die Deutschen nicht mehr bereit sind, die Missachtung ihrer Interessen durch die Politik zu akzeptieren. Unabhängig davon, ob es um Themen wie Frieden, Energieversorgung, innere Sicherheit oder Migration geht. In all diesen Bereichen beweist die Ampel ihre Unfähigkeit: Sie ist ihren Aufgaben nicht gewachsen! Angesichts des fehlenden Rückhalts der Bundesregierung in der Bevölkerung fordern wir Neuwahlen!“
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA"
https://www.afd.de/carsten-huetter-afd-ist-auf-teilrueckzahlung-staatlicher-mittel-aus-parteienfinanzierung-gut-vorbereitet/,Carsten Hütter: AfD ist auf Teilrückzahlung staatlicher Mittel aus Parteienfinanzierung gut vorbereitet!,2. Juni 2023,Carsten Hütter,"Der Bundesschatzmeister der AfD, Carsten Hütter, kommentiert die heute von der Verwaltung des Deutschen Bundestages an die Parteien versendete Anhörung zu der beabsichtigten Teilrücknahme der Bescheide über die Festsetzung staatlicher Mittel für die Anspruchsjahre 2018 bis 2021 – in Umsetzung der Entscheidung des Bundesverfassungsgerichts zur Parteienfinanzierung vom 24.01.2023 – wie folgt:
„Die Alternative für Deutschland hat in den vergangenen Jahren sparsam gewirtschaftet und ist den Hinweisen der Präsidentin des Deutschen Bundestages, dass ein Teil der im Rahmen der Parteienfinanzierung überwiesenen Mittel nur unter Vorbehalt ausgezahlt worden sei, entsprechend gefolgt und hat diese deshalb zurückgelegt. Insofern entstehen durch die Rückzahlungserfordernis – offenbar im Gegensatz zu anderen im Bundestag vertretenen Parteien – keine Probleme für die Finanzlage und Kampagnenfähigkeit unserer Partei.
Wir freuen uns, dass wir mit diesem Anhörungsverfahren der Bundestagsverwaltung jetzt endlich Klarheit für unsere Finanzplanung der nächsten Jahre erhalten haben. Im zehnten Jahr des Bestehens der AfD zeigen nicht allein die in den Umfragen der letzten Monate stark steigenden Umfragewerte, dass unsere konsequent an den Interessen unserer Bürger sowie unseres Landes orientierte Sachpolitik auf immer mehr Resonanz stößt. Auch die stetig steigenden Mitgliederzahlen unserer Partei – momentan schon wieder deutlich mehr als 32.000 Mitglieder und Förderer – kennen seit Monaten nur eine Richtung: nach oben.“
Anlage: Pressemitteilung des Bundesverfassungsgerichts vom 24. Januar 2023
https://www.bundesverfassungsgericht.de/SharedDocs/Pressemitteilungen/DE/2023/bvg23-009.html
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA"
https://www.afd.de/stephan-brandner-mehrjaehrige-haftstrafen-fuer-mitglieder-der-hammerbande/,Stephan Brandner: Mehrjährige Haftstrafen für Mitglieder der Hammerbande,31. Mai 2023,Stephan Brandner,"Heute wurde gegen die Linksextremistin Lina E. und drei weitere Mitglieder der sogenannten „Hammerbande“ ein Urteil verkündet. Die Bundesanwaltschaft wirft der Gruppe vor, Teil einer kriminellen Vereinigung zu sein, die zwischen 2018 und 2020 Menschen brutal zusammengeschlagen hat. Lina E. gilt als die Anführerin. Nun verurteilte das Oberlandesgericht Dresden (OLG) Lina E. zu 5 Jahren und 3 Monaten Haft. Ihre drei Helfer erhalten jeweils niedrigere Haftstrafen.
Stephan Brandner, stellvertretender Bundessprecher der AfD, kommentiert das Urteil:
„Lina E. und drei weitere Täter wurden für ihre Gewalttaten und die Bildung einer kriminellen Vereinigung zu mehrjährigen Haftstrafen verurteilt. Wir begrüßen zwar dieses klare Gerichtsurteil, auch, wenn das Strafmaß sehr bescheiden ausfällt, denn Deutschland darf derartige terroristische Methoden nicht tolerieren.
Der Prozess konnte nur unter erhöhten Sicherheitsvorkehrungen stattfinden und bereits für heute haben Linksextremisten Kundgebungen gegen das Urteil geplant. Sicherheitsbehörden befürchten, dass es am kommenden Wochenende vor allem in Leipzig zu linken Ausschreitungen kommen wird. In einem Schreiben auf ‚Indymedia‘ werden schon Vergleiche mit den Krawallen von 2017 rund um den G20-Gipfel in Hamburg gezogen. Bilder massiver Gewaltexzesse, wie zu Zeiten des damaligen Hamburger Bürgermeister Olaf Scholz, dürfen sich nicht wiederholen. Am Samstag müssen die deutschen Sicherheitsbehörden Leipzig gegen die Linksextremisten wappnen. Darüber hinaus fordert die AfD von Innenministerin Nancy Faeser, sich endlich ehrlich zu machen und den linken Terror im Lande nicht länger zu ignorieren.“
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA"
https://www.afd.de/mariana-harder-kuehnel-drohende-einbuergerungswelle-deutscher-pass-darf-nicht-entwertet-werden/,Mariana Harder-Kühnel: Drohende Einbürgerungswelle: Deutscher Pass darf nicht entwertet werden!,NA,Mariana Harder-Kühnel,"Dazu Mariana Harder-Kühnel, stellvertretende Bundessprecherin der Alternative für Deutschland:
„Trotz dieser alarmierenden Entwicklungen bereitet die Ampel derzeit eine weitere Lockerung der Einbürgerungskriterien vor. Ihr Ziel ist die Beschleunigung der Einbürgerung von Migranten und Asylbewerbern aus aller Welt. Hierzu sollen zum einen die Sprach- und Integrationsanforderungen drastisch gesenkt und zum anderen das Erfordernis der Abgabe der bisherigen Staatsbürgerschaft abgeschafft werden. Nach einer solchen Reform, welche noch in diesem Sommer in Kraft treten soll, droht in Deutschland eine regelrechte Einbürgerungswelle geringqualifizierter und integrationsunfähiger Personen.
Die deutsche Staatsbürgerschaft darf jedoch nicht durch linke Multikulti-Romantik entwertet werden. Der Doppelpass lässt Loyalitätskonflikte entstehen und erschwert die persönliche Identifikation mit unserer Nation, Kultur und Sprache. Einbürgerungspolitik muss sich vielmehr ausschließlich an deutschen Interessen orientieren und eine Bringschuld der Zuwanderer voraussetzen.“
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA"
https://www.afd.de/tino-chrupalla-asylreform-im-interesse-der-buerger/,Tino Chrupalla: Asylreform im Interesse der Bürger,NA,Tino Chrupalla,"„Polen leitet Asylzuwanderer einfach nach Deutschland durch. Und Ministerpräsident Kretschmer ist außer Stande, die Grenze zu schützen. Bundesinnenministerin Faeser reist an, um das Versagen des Landesvaters festzustellen. So kann es nicht weitergehen. Kretschmer muss Faeser und Parteichef Friedrich Merz von seinen Ideen zur Reform des Asylrechts überzeugen. Im nächsten Bundestag könnte es eine Zwei-Drittel-Mehrheit für eine Asylreform im Interesse der Bürger geben. Die Alternative für Deutschland wird in Land, Bund und Europa zugleich daran arbeiten, dass der Zustrom gestoppt wird.“
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA"
https://www.afd.de/stephan-brandner-massiver-personalzuwachs-statt-schlanker-staat-fdp-bricht-versprechen-und-faellt-um/,Stephan Brandner: Massiver Personalzuwachs statt schlanker Staat: FDP bricht Versprechen und fällt um,26. Mai 2023,Stephan Brandner,"Zu den 1.710 seit Beginn der Legislaturperiode neu geschaffenen Stellen der Bundesregierung meint der stellvertretende Bundessprecher der Alternative für Deutschland:
„Seit jeher steht die FDP angeblich für Entbürokratisierung und einen schlanken Staat. Nun, da sie in Regierungsverantwortung ist, platzen die Ministerien aufgrund des massiven Personalzuwachses aus allen Nähten. Vor allem das Habeck-Ministerium hat viele neue Stellen geschaffen, mutmaßlich, um alle Verwandten und Bekannten von Graichen und Co. mit Stellen zu versorgen. Die Bürger müssen erkennen: alle Wahlversprechen sind nur Lug und Trug. Sobald die Altparteien Regierungsmacht haben, machen sie sich auf Kosten des Steuerzahlers die Taschen voll, versorgen die ihren mit Pöstchen und versinken in Nepotismus und Filz.“
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA"
https://www.afd.de/tino-chrupalla-interessengeleitete-politik-kommt-beim-buerger-an/,Tino Chrupalla: Interessengeleitete Politik kommt beim Bürger an,26. Mai 2023,Tino Chrupalla,"Laut aktuellem ZDF-Politbarometer gewinnt die Alternative für Deutschland zwei Prozent hinzu. Wären am Sonntag Bundestagswahlen, käme die Partei auf 17 Prozent. Dazu erklärt AfD-Bundessprecher Tino Chrupalla:
„Die Umfrage bestätigt unseren Kurs. Ob Frieden oder Energie, Arbeit oder Migration – unsere interessengeleitete Politik kommt gut beim Bürger an. Daran kann keine Kampagne gegen uns etwas ändern. Für Deutschland wollen wir Sicherheit durch Grenzschutz und Wohlstand durch freien und friedlichen Handel.“
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA"
https://www.afd.de/stephan-brandner-razzia-gegen-letzte-generation-ist-erster-wichtiger-schritt-in-die-richtige-richtung/,Stephan Brandner: Razzia gegen Letzte Generation ist erster wichtiger Schritt in die richtige Richtung,24. Mai 2023,Stephan Brandner,"Die Generalstaatsanwaltschaft München, das Bayerische Landeskriminalamt sowie die Behörden weiterer Bundesländer haben am Mittwoch eine deutschlandweite Razzia bei Mitgliedern der „Letzten Generation“ durchgeführt.
Stephan Brandner, stellvertretender Bundessprecher der Alternative für Deutschland, zeigt sich erfreut ob der Entwicklung und mahnt weitere Schritte an:
„Der Rechtsstaat muss sich aufgrund der kriminellen Machenschaften der Terroristen endlich wehrhaft zeigen. Die bundesweite Razzia ist ein erster guter Schritt in die richtige Richtung, viele weitere müssen folgen. Es kann nicht sein, dass sich die Justiz von den Klimaklebern auf der Nase herum tanzen lässt. Ein Verbot der Vereinigung ist am Ende der richtige Schritt. Ein solches haben wir bereits vor einigen Wochen im Deutschen Bundestag beantragt und hoffen, dass die Bundesregierung dem nun schnell entspricht.“
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA"
https://www.afd.de/afd-mahnt-aeusserungen-von-haldenwang-ab/,AfD mahnt Äußerungen von Haldenwang ab,24. Mai 2023,NA,"Der Präsident des Bundesamtes für Verfassungsschutz (BfV), Thomas Haldenwang, hat in einem TV-Interview und bei einer offiziellen BfV-Veranstaltung der AfD Extremismus unterstellt: „Wir beobachten eben schon, dass Teile der AfD dazu beitragen, eben auch Extremismus zu fördern in Deutschland, Hass und Hetze zu verbreiten.“
AfD-Bundessprecher Tino Chrupalla und Alice Weidel weisen die Vorwürfe des Verfassungsschutzpräsidenten auf das Schärfste zurück:
„Haldenwangs nebulöse Andeutungen sind rechtswidrig. Gleiches gilt für eine angedeutete Hochstufung. Denn die AfD bejaht die freiheitliche demokratische Grundordnung im Sinne des Grundgesetzes. Sie tritt aktiv für die Wahrung der Demokratie, des Rechtsstaats und für die Achtung und den Schutz der Menschenwürde ein.
Mit Blick auf die Landtagswahlen in Hessen und Bayern in diesem Jahr sowie den Wahlen im kommenden Jahr 2024 (Europäisches Parlament sowie Kommunalwahlen in Baden-Württemberg, Brandenburg, Mecklenburg-Vorpommern, Rheinland-Pfalz, Sachsen, Sachsen-Anhalt, Thüringen sowie im Saarland) verbietet sich in der nun bereits gegebenen Vorwahlzeit jede staatliche Einflussnahme auf den demokratischen Willensbildungsprozess.
Es gibt in der AfD keine fortschreitende Radikalisierung. Deshalb haben wir den Verfassungsschutz gestern abgemahnt. Bei Zuwiderhandlung werden wir weitere rechtliche Schritte einleiten.“
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA"
