"title","date","prompt","date2","fulltext","url"
"Witt: Behinderteneinrichtungen vom Coronavirus bedroht",NA,"Berlin, 2. April 2020. Am vergangenen Mittwoch haben alle anderen Fraktionen des Bundestages den Entschließungsantrag „Rettungsschirm für Menschen mit Behinderung“ der AfD-Fraktion im Deutschen Bundestag geschlossen ablehnt. Ein Fehler von immenser Tragweite, wie aktuelle Zeitungsberichte beweisen.","Berlin, 2. April 2020","Der Behindertenpolitische Sprecher der AfD-Bundestagsfraktion, Uwe Witt, sieht seine Befürchtungen vom Zusammenbruch der Eingliederungshilfe bestätigt:„In unserem Antrag haben wir konkrete Hilfsprogramme für Menschen mit Behinderung und speziell für die Träger der Eingliederungshilfe gefordert. Die Ignoranz der Altparteien gegenüber Anträgen der AfD-Fraktion wird gnadenlos auf dem Rücken der Bedürftigen ausgespielt.Während für Altenheime in den vergangenen Wochen Schutzkonzepte entstanden sind, sind Behinderteneinrichtungen im Moment überwiegend sich selbst überlassen. Nicht nur, dass den Werkstätten für behinderte Menschen durch die aktuellen Schließungen das finanzielle Aus droht, den Wohneinrichtungen fehlt es an Personal und Schutzausstattung, um die Menschen, die jetzt nicht mehr in den Werkstätten arbeiten können, zu betreuen. Während Vereine wie zum Beispiel die Lebenshilfe e.V. und Caritas Behindertenhilfe medienwirksam auf diesen Missstand hinweisen, fühlt sich die Regierung nicht angesprochen.Unser Antrag ‚Rettungsschirm für Menschen mit Behinderung‘ enthält ganz klare Forderungen, Träger der Wohneinrichtungen sowie Behindertenwerkstätten finanziell zu unterstützen und analog zu den Altenheimen staatlich mit Schutzausrüstungen und Desinfektionsmitteln auszustatten. Nun zeigt sich, wie pragmatisch und wichtig unser Antrag zur Unterstützung der Einrichtungen ist, denn knapp 13 Millionen Menschen mit einer Beeinträchtigung leben laut dem aktuellen Teilhabebericht der Regierung in Deutschland. Menschen, die im Alltag auf Hilfe und Betreuung durch die Leistungsträger der Eingliederungshilfe dringend angewiesen sind. Menschen, die durch das Raster der Altparteien gefallen sind.“","https://afdbundestag.de/witt-behinderteneinrichtungen-vom-coronavirus-bedroht/"
"Herdt/Braun: Interparlamentarische Menschenrechtskommission der AfD-Bundestagsfraktion setzt sich für Christen in Syrien ein",NA,"Berlin, 29. Mai 2020. „Bereits seit neun Jahren herrscht in Syrien große humanitäre Not. Durch die Corona-Krise hat sich die Lage zusätzlich dramatisch verschärft. Die Folgen bekommt vor allem die syrische Bevölkerung zu spüren“, beklagt Waldemar Herdt, Mitglied des Ausschusses für Menschenrechte und Humanitäre Hilfe im Deutschen Bundestag und Sprecher der Interparlamentarischen Menschenrechtskommission (IPMK). Als Initiator dieser friedensfördernden Initiative setzt sich der niedersächsische Abgeordnete für einen Ausgleich und ein Ende der Konfrontation in Krisenregionen ein. „Durch den gezielten Austausch und Transfer von Initiativen, Erkenntnissen und guten politischen Praktiken zwischen den Vertretern verschiedener Parlamente können wir mit unserer Initiative genau dort ansetzen, wo die bisherigen Bemühungen der Regierungen fruchtlos geblieben sind“, so Herdt.","Berlin, 29. Mai 2020","In dieser Woche haben etwa 30 Parlamentarier, hochrangige Politiker und Experten aus sechs Ländern an der Webkonferenz „Syrien – Wiege des Christentums“ teilgenommen. Nach einer etwas hitzigen, aber konstruktiven Debatte hat die Interparlamentarische Menschenrechtskommission im Rahmen der Konferenz einen Friedensplan für Syrien vorgelegt.Jürgen Braun, menschenrechtspolitischer Sprecher der AfD-Fraktion, betont:„Zum ersten Mal ist den Parlamentariern gelungen, verschiedene Gruppen Syriens zusammenzubringen, die nicht militärisch, sondern politisch aktiv sind.“Braun weiter:„Dies ist die erste zukunftsweisende Friedensinitiative für Syrien, die auch christliche Volksgruppen in Nordsyrien einbezieht. Weder aus dem Kanzleramt, noch aus dem Auswärtigen Amt ist bisher ein solch qualifizierter Vorschlag für einen umfassenden Frieden gekommen. Der IPMK-Friedensansatz muss als eine Chance ergriffen werden, denn die Sehnsucht nach Frieden in Syrien ist groß.“","https://afdbundestag.de/herdt-braun-interparlamentarische-menschenrechtskommission-der-afd-bundestagsfraktion-setzt-sich-fuer-christen-in-syrien-ein/"
"Curio: Die Bundesregierung bleibt ihrem Wahlspruch treu: aus Illegalität Legalität machen!",NA,NA,NA,"","https://afdbundestag.de/curio-die-bundesregierung-bleibt-ihrem-wahlspruch-treu-aus-illegalitaet-legalitaet-machen/"
"Oehme: Bevölkerung nicht mehr mit sinnfreien Schikanen drangsalieren",NA,"Berlin, 1. Juni 2021. In der öffentlichen Anhörung des Unterausschusses Covid-19-Pandemie, dem Parlamentarischen Begleitgremium zur Covid-19-Pandemie, hat der geladene Experte für Aerosolforschung deutlich gemacht, dass die Anerkennung der wissenschaftlichen Forschungsergebnisse und die Nutzung vorhandener Technologie eine Rückkehr zur Normalität mit minimalem Risiko ermöglichen. Aus der Anhörung ging hervor, dass das Ansteckungsrisiko im Freien sehr viel geringer ist als in Innenräumen. Entsprechend sollte die Politik alles tun, um die Menschen zu motivieren ins Freie zu gehen. Gesellschaftliches Leben wäre demnach aber sogar in Innenräumen möglich, wenn entweder eine entsprechende Lüftung oder geeignete Luftreiniger eingesetzt würden. Luftreiniger in Innenräumen und Fahrzeugen würden auch den Betrieb in geschlossenen Räumen ermöglichen. So wurde auch festgehalten, dass Flugreisen durch den Einsatz von Hepafiltern in Flugzeugen bereits sehr risikoarm sind.","Berlin, 1. Juni 2021","Der AfD-Bundestagsabgeordnete Ulrich Oehme erklärt dazu:„Diese Erkenntnisse sind uns zu großen Teilen schon durch die Anhörung zum Vierten Bevölkerungsschutzgesetz bekannt. Trotzdem wurden mit der Bundesnotbremse so unverhältnismäßige wie unsinnige Maßnahmen verhängt, die allerlei Aktivitäten im Freien untersagten. Das ging ja bis hin zu Ausgangsperren. Wir fordern die Bundesregierung auf, in Zukunft den Rat der Sachverständigen ausgewogener zu beherzigen und die Bevölkerung nicht mit sinnfreien Schikanen zu drangsalieren.“","https://afdbundestag.de/oehme-bevoelkerung-nicht-mehr-mit-sinnfreien-schikanen-drangsalieren/"
"Wiehle/Mrosek: Untersuchungsausschuss Maut muss jetzt Merkel und Gabriel hören",NA,"Berlin, 29. Mai 2020. Nach Aussage des Obmanns der AfD-Fraktion im Untersuchungsausschuss Pkw-Maut, Wolfgang Wiehle, müssen nach Bundesinnenminister Horst Seehofer nun auch Bundeskanzlerin Dr. Angela Merkel und der frühere SPD-Vorsitzende Sigmar Gabriel als Zeugen gehört werden, um aufzuklären, wie die Formulierung zur Pkw-Maut im Koalitionsvertrag von 2013 zustande gekommen ist. Die AfD-Fraktion kündigte entsprechende Beweisanträge an.","Berlin, 29. Mai 2020. Nach Aussage des Obmanns der AfD-Fraktion im Untersuchungsausschuss Pkw-Maut, Wolfgang Wiehle, müssen nach Bundesinnenminister Horst Seehofer nun auch Bundeskanzlerin Dr. Angela Merkel und der frühere SPD-Vorsitzende Sigmar Gabriel als Zeugen gehört werden, um aufzuklären, wie die Formulierung zur Pkw-Maut im Koalitionsvertrag von 2013","Wiehle wörtlich:„Die Formulierung aus dem 2013er Koalitionsvertrag enthält die Festlegung, dass durch die Einführung der Pkw-Maut kein Fahrzeughalter in Deutschland stärker belastet werden solle. Diese Formulierung setzte den Keim für das spätere Scheitern des Vorhabens vor dem Europäischen Gerichtshof, verbunden mit einem Schaden in dreistelliger Millionenhöhe.Durch die gestrige Vernehmung Seehofers ist die frühere Aussage von Ex-Verkehrsminister Dr. Peter Ramsauer bestätigt worden, dass die Maut-Formulierung im Koalitionsvertrag 2013 Sache der Parteichefs Merkel, Gabriel und Seehofer war. Völlig gegensätzlich sind aber die Aussagen der früheren CSU-Führungspersönlichkeiten Seehofer und Ramsauer über die Motivation der weiteren Beteiligten dieser Chefrunde geblieben: Während Ramsauer insbesondere dargestellt hatte, Merkel könnte in Anbetracht ihrer Wahlkampfaussage ‚Mit mir wird es keine Pkw-Maut geben‘ eine Formulierung hingenommen haben, die mit höchster Wahrscheinlichkeit nicht umsetzbar gewesen wäre, wies Seehofer eine solche Möglichkeit zurück.“Der AfD-Bundestagsabgeordnete Andreas Mrosek, Mitglied im Untersuchungsausschuss, bekräftigt:„Angesichts des hohen eingetretenen Schadens ist eine Aufklärung dieses Vorgangs von größtem Interesse. Deshalb ist es nun erforderlich, dass der Untersuchungsausschuss auch Merkel und Gabriel als Zeugen hört.“","https://afdbundestag.de/wiehle-mrosek-untersuchungsausschuss-maut-muss-jetzt-merkel-und-gabriel-hoeren/"
"Harald Weyel: Deutsch-kirgisische Zusammenarbeit zeigt Perspektiven ohne Bevormundung und Währungsunion",NA,"Berlin, 16. Juni 2022. Zum „Tag der deutschen Wirtschaft“ im kirgisischen Bischkek, teilt der AfD-Bundestagsabgeordnete Harald Weyel mit: ","Berlin, 16. Juni 2022","„Kirgisistan bietet ausländischen Unternehmern Unterstützung bei den Formalitäten für Neugründungen und hat sich sowohl der eurasischen als auch der westeuropäischen Wirtschaft geöffnet.Die kirgisische Strategie der schlanken bilateralen Zusammenarbeit, bei politischer und wirtschaftlicher Selbstbestimmung, könnte in der bürokratisch paralysierten und inflationsgeplagten EU durchaus Lehre machen. Diese Strategie trägt erste Früchte, wie an den Teilnehmern zu erkennen war: So traf ich unter anderem Honorarkonsul Karl Ehlerding, einen in Kirgisistan tätigen deutschen Investoren und Bierbrauer, sowie Nurdin Sheishenov, einen Absolventen der deutsch-kirgisischen Logistik-Fakultät, der schon 1200 kirgisische Studenten zu Ferienarbeit und Praktika nach Deutschland vermittelt hat.Die AfD-Fraktion fordert den massiven Abbau supranationaler politischer Strukturen bei gleichzeitiger Stärkung vielseitiger bilateraler wirtschaftlicher Zusammenarbeit, wie Kirgisistan sie vorbildlich praktiziert.“","https://afdbundestag.de/harald-weyel-deutsch-kirgisische-zusammenarbeit-zeigt-perspektiven-ohne-bevormundung-und-waehrungsunion/"
"Nicole Höchst: Desaströse Schulleistungen in der Grundschule führen langfristig zur Verschärfung des Fachkräftemangels",NA,"Berlin, 8. Juli 2022. Zur Situation der schulischen Bildung in Deutschland äußert sich die AfD-Bundestagsabgeordnete Nicole Höchst, bildungspolitische Sprecherin der AfD-Fraktion, wie folgt:
","Berlin, 8. Juli 2022","„Mit dem IQB-Bildungstrend 2021 haben wir es schwarz auf weiß, was jeder Lehrer mit Erfahrung seit langem schon weiß: Immer mehr Schüler beherrschen selbst die einfachsten Grundlagen nicht mehr. Die Grundschule ist häufig nicht mehr in der Lage, den Schülern grundlegende Fähigkeiten beim Lesen, Schreiben und Rechnen beizubringen. Ursachen dafür sind unter anderem die zunehmende Heterogenität der Klassen, aber vor allem eine Pseudopädagogik. In den meisten Grundschulen soll Lernen nur noch Spaß machen, regelmäßiges Üben und Wiederholen gilt als überholt. Das rächt sich nun, denn das Versäumte lässt sich kaum noch aufholen.Trotzdem verfestigt sich der Trend zum Gymnasium immer mehr. Das hat zur Folge, dass es einerseits eine Abiturientenschwemme auf niedrigem Niveau bei gleichzeitig besten Noten gibt, andererseits haben wir einen erheblichen Fachkräftemangel. Viele Abiturienten sind nicht mehr studierfähig; ein Viertel der Studenten brechen ihr Studium ab; 45.000 Schüler erlangen keinen Abschluss; 25 Prozent der Auszubildenden beenden ihre Ausbildung vorzeitig und über 2 Millionen junge Erwachsene zwischen 20 und 34 Jahren sind ohne jedweden Berufsabschluss.Zudem kommt, dass mittlerweile über 60.000 Ausbildungsplätze aufgrund von ‚Passungsproblemen‘ nicht mehr besetzt werden können, unter anderem auch deshalb, weil viele Bewerber nicht mehr ausbildungsreif sind. Es kann aber nicht sein, dass immer mehr Betriebe den Auszubildenden lesen, schreiben und rechnen beibringen müssten, um erfolgreiche Fachkräfte auszubilden.Hier helfen nur entschiedene Maßnahmen, die zu einem geänderten Bildungsverhalten führen. Zum Beispiel dürfen strengere Zulassungsverfahren für ein Studium oder die Wiedereinführung der verpflichtenden Schullaufbahnempfehlungen am Ende der Klasse 4 kein Tabu mehr sein. Ansonsten droht eine Verstetigung des Niveaulimbos. Es muss endlich zur Kenntnis genommen werden, dass das Schulsystem zwar für alle Schüler die gleichen Chancen ermöglicht, aber nicht alle Schüler die gleichen kognitiven Fähigkeiten besitzen. Eine natürliche Ungleichheit darf nicht durch eine fortwährende Niveauabsenkung kaschiert werden und in einer Schule für alle versteckt werden. Diese wird offensichtlich niemandem mehr gerecht.Wir fordern deshalb eine grundlegende Erneuerung des deutschen Schulsystems. Das können nur eine schnelle Rückkehr zum leistungsfähigen bereits äußerlich differenzierten Schulsystem mit Förderschule, eine Stärkung des dualen Ausbildungssystems und eine entschiedene Abkehr von der Spaß- und Kuschelpädagogik sein.“","https://afdbundestag.de/nicole-hoechst-desastroese-schulleistungen-in-der-grundschule-fuehren-langfristig-zur-verschaerfung-des-fachkraeftemangels/"
"Komning: Spahns Masken sind ein Steuergrab",NA,"Berlin, 26. Februar 2021. Die Bundesregierung erlebt mit der Beschaffung von medizinischen Masken ein finanzielles Desaster: Beschaffungskosten im Milliarden- und Gerichtskosten im Millionenbereich. Die Antworten auf eine Kleine Anfrage (BT-Drs. 19/26469) des Parlamentarischen Geschäftsführers der AfD-Bundestagsfraktion, Enrico Komning, lassen tief in das Finanz- und Geschäftsgebaren der Regierung blicken.","Berlin, 26. Februar 2021","Komning erklärt dazu:„Die Antworten zu meiner Kleinen Anfrage zeigen deutlich: Diese Regierung und besonders Minister Spahn sollten besser die Finger von wirtschaftlicher Betätigung lassen.Die Beschaffung von medizinischen Masken für den öffentlichen Dienst gerät zu einem Steuergrab. Es wurden im letzten Jahr Verträge über die Lieferungen von insgesamt 2,05 Milliarden FFP2- beziehungsweise OP-Masken geschlossen. Bekannt war schon vorher, dass nur ein Bruchteil dieser Masken überhaupt von der Regierung abgenommen und viele Lieferanten auf den Masken sitzen gelassen wurden. Nicht so bekannt ist, dass der Bund nun wegen Abwicklungsschwierigkeiten mit Dutzenden von Lieferanten vor Gericht steht und auf den Steuerzahler wegen des hohen Streitwertes von 180 Millionen Euro horrende Verfahrenskosten zukommen.Um dem Ganzen die Krone aufzusetzen, hat Minister Spahn für die FFP2-Masken einen absurd hohen Nettopreis von 4,50 Euro mit den Lieferanten vereinbart. Auch hier absolute Steuergeldverschwendung, bedenkt man, dass jeder Kunde im Handel FFP2-Masken für einen Endpreis von 1,50 Euro bis 1,90 Euro erwerben kann. Das ist unverantwortlich.“","https://afdbundestag.de/komning-spahns-masken-sind-ein-steuergrab/"
"Alice Weidel: Inflation enteignet Bürger und führt in die Verarmung",NA,"Berlin, 28. Oktober 2021. Die Inflationsrate ist im Oktober weiter gestiegen und hat mit 4,5 Prozent den höchsten Stand seit 28 Jahren erreicht. Dazu erklärt die Fraktionsvorsitzende der AfD im Deutschen Bundestag Alice Weidel:","Berlin, 28. Oktober 2021","„Die Inflation hat einen neuen Rekordwert erreicht und ist so hoch wie zuletzt 1993. Damals allerdings hat die Bundesbank mit hohen Leitzinsen gegengesteuert; heute verschärft die Europäische Zentralbank die Geldentwertung durch ihre Null- und Negativzinspolitik und die massive Ausweitung der Geldmenge. Bürger, Sparer und Steuerzahler werden so faktisch enteignet, um die ungebremste Ausgabenlust überschuldeter Euro-Länder zu bezahlen.Diese Inflation ist kein ‚vorübergehender Effekt‘. Sie wird verschärft durch die hochgeschraubten Energiesteuern, die die Kraftstoff- und Energiepreise weiter in die Höhe treiben und über steigende Transport- und Produktionskosten auf die Güter und Dienstleistungen des täglichen Lebens durchschlagen. Um die Bürger vor Verarmung zu schützen, müssen deshalb unverzüglich die CO2-Steuer abgeschafft, Energieabgaben drastisch reduziert und die Umsatzsteuer deutlich abgesenkt werden.“","https://afdbundestag.de/alice-weidel-inflation-enteignet-buerger-und-fuehrt-in-die-verarmung/"
"Mariana Harder-Kühnel: Spiegel weiter uneinsichtig – Rücktritt überfällig",NA,NA,NA,"","https://afdbundestag.de/mariana-harder-kuehnel-spiegel-weiter-uneinsichtig-ruecktritt-ueberfaellig/"
