"page_number","urls"
0,"https://afdbundestag.de/dirk-spaniel-neues-strassenverkehrsgesetz-gibt-falsche-impulse/"
0,"https://afdbundestag.de/kay-gottschalk-regierungspolitik-mindert-die-kaufkraft-der-buerger/"
0,"https://afdbundestag.de/gereon-bollmann-nachzug-von-nur-subsidiaer-schutzberechtigten-einstellen/"
0,"https://afdbundestag.de/thomas-seitz-strafrecht-ist-nicht-der-richtige-ort-fuer-identitaetspolitik/"
0,"https://afdbundestag.de/goetz-froemming-finanzielle-besserstellung-von-brennpunktschulen-loest-keine-probleme/"
0,"https://afdbundestag.de/michael-kaufmann-beim-energietraeger-wasserstoff-sind-wesentliche-fragen-ungeklaert/"
0,"https://afdbundestag.de/enrico-komning-mit-energiepolitischer-wende-den-wirtschaftsstandort-deutschland-wieder-attraktiv-machen/"
0,"https://afdbundestag.de/beatrix-von-storch-fataler-gender-und-gleichstellungsideologie-entschlossen-entgegentreten/"
1,"https://afdbundestag.de/dirk-spaniel-neues-strassenverkehrsgesetz-gibt-falsche-impulse/"
1,"https://afdbundestag.de/kay-gottschalk-regierungspolitik-mindert-die-kaufkraft-der-buerger/"
1,"https://afdbundestag.de/gereon-bollmann-nachzug-von-nur-subsidiaer-schutzberechtigten-einstellen/"
1,"https://afdbundestag.de/thomas-seitz-strafrecht-ist-nicht-der-richtige-ort-fuer-identitaetspolitik/"
1,"https://afdbundestag.de/goetz-froemming-finanzielle-besserstellung-von-brennpunktschulen-loest-keine-probleme/"
1,"https://afdbundestag.de/michael-kaufmann-beim-energietraeger-wasserstoff-sind-wesentliche-fragen-ungeklaert/"
1,"https://afdbundestag.de/enrico-komning-mit-energiepolitischer-wende-den-wirtschaftsstandort-deutschland-wieder-attraktiv-machen/"
1,"https://afdbundestag.de/beatrix-von-storch-fataler-gender-und-gleichstellungsideologie-entschlossen-entgegentreten/"
2,"https://afdbundestag.de/eugen-schmidt-kein-aufklaerungswille-der-regierung-in-bezug-auf-nord-stream-sprengung-erkennbar/"
2,"https://afdbundestag.de/martin-hess-falsche-migrationspolitik-ist-eine-zentrale-ursache-der-clankriminalitaet/"
2,"https://afdbundestag.de/peter-boehringer-wolfgang-wiehle-regierung-mauert-beim-thema-chipsubventionen/"
2,"https://afdbundestag.de/peter-felser-laubholzforschung-verstaerken-damit-eine-echte-holzbauoffensive-gelingen-kann/"
2,"https://afdbundestag.de/thomas-seitz-strafrecht-darf-sich-nicht-zu-einem-gefuehlsstrafrecht-entwickeln/"
2,"https://afdbundestag.de/bildungspolitiker-beschliessen-resolution-zu-chatgpt/"
2,"https://afdbundestag.de/stephan-brandner-fast-halbe-million-euro-fuer-transport-selenskyjs-nach-berlin-ist-untragbar/"
2,"https://afdbundestag.de/kay-gottschalk-keine-zusaetzlichen-zahlungen-an-die-eu/"
3,"https://afdbundestag.de/mariana-harder-kuehnel-anstieg-der-haeuslichen-gewalt-taeter-profil-klar-benennen/"
3,"https://afdbundestag.de/gottfried-curio-ruecknahme-irregulaerer-migranten-gegenueber-herkunftsstaaten-durchsetzen/"
3,"https://afdbundestag.de/stephan-protschka-die-geplante-fleischsteuer-muss-schnellstmoeglich-vom-tisch/"
3,"https://afdbundestag.de/marc-bernhard-der-heizungshammer-kommt-mit-voller-wucht/"
3,"https://afdbundestag.de/norbert-kleinwaechter-union-kupfert-buergergeld-kritik-bei-afd-fraktion-ab/"
3,"https://afdbundestag.de/alice-weidel-massenmigration-muss-unterbunden-und-nicht-besser-organisiert-werden/"
3,"https://afdbundestag.de/juergen-braun-israelfeindliche-linke-propaganda-nicht-foerdern/"
3,"https://afdbundestag.de/goetz-froemming-marc-jongen-17-juni-muss-wieder-nationaler-feiertag-werden/"
4,"https://afdbundestag.de/kay-gottschalk-ezb-hinkt-der-inflationslage-hinterher/"
4,"https://afdbundestag.de/steffen-kotre-habecks-wirtschaftsfeindliche-energiepolitik-fuehrt-deutschland-absichtlich-in-schwere-krise/"
4,"https://afdbundestag.de/enrico-komning-habeck-gefaehrdet-den-standort-deutschland/"
4,"https://afdbundestag.de/alice-weidel-nationale-sicherheitsstrategie-ist-ein-substanzloser-phrasenkatalog/"
4,"https://afdbundestag.de/rene-springer-40-prozent-aller-auslaendischen-kinder-in-deutschland-beziehen-buergergeld/"
4,"https://afdbundestag.de/peter-felser-bundesweite-rueckrufwelle-von-spinatprodukten-in-supermaerkten-beunruhigt-verbraucher/"
4,"https://afdbundestag.de/kay-uwe-ziegler-apotheken-unterstuetzen-versorgung-sichern/"
4,"https://afdbundestag.de/alice-weidel-tino-chrupalla-ampel-einigung-zum-heizungsgesetz-ist-buergerfeindlicher-etikettenschwindel/"
5,"https://afdbundestag.de/ruediger-lucassen-wer-treue-soldaten-will-muss-patriotismus-in-der-bundeswehr-foerdern/"
5,"https://afdbundestag.de/martin-sichert-lauterbach-betrachtet-gesetzlich-versicherte-als-melkkuehe-der-nation/"
5,"https://afdbundestag.de/rene-springer-peter-boehringer-buerger-brauchen-entlastungen-dringender-als-die-mitglieder-der-bundesregierung/"
5,"https://afdbundestag.de/markus-frohnmaier-sollte-ukrainische-regierung-an-nord-stream-anschlaegen-beteiligt-gewesen-sein-muss-jede-entwicklungshilfe-eingestellt-werden/"
5,"https://afdbundestag.de/marc-bernhard-cdu-kommissionspraesidentin-von-der-leyen-und-ampel-machen-wohnen-unbezahlbar/"
5,"https://afdbundestag.de/gottfried-curio-eu-asylkompromiss-geht-die-entscheidenden-probleme-nicht-an/"
5,"https://afdbundestag.de/stephan-protschka-es-muss-auch-in-zukunft-noch-schweinefleisch-komplett-aus-deutscher-herkunft-geben/"
5,"https://afdbundestag.de/stephan-brandner-staatliche-finanzierung-der-amadeu-antonio-stiftung-muss-sofort-beendet-werden/"
6,"https://afdbundestag.de/tino-chrupalla-europa-muss-eine-burg-sein/"
6,"https://afdbundestag.de/kay-gottschalk-spd-darf-aufklaerung-des-cum-ex-skandals-nicht-laenger-blockieren/"
6,"https://afdbundestag.de/mariana-harder-kuehnel-ungeborenes-leben-schuetzen/"
6,"https://afdbundestag.de/christina-baum-schleichende-einfuehrung-eines-sozialkreditsystems-stoppen/"
6,"https://afdbundestag.de/tino-chrupalla-das-auswaertige-amt-ist-keine-ngo/"
6,"https://afdbundestag.de/rene-springer-wie-schweden-muss-auch-deutschland-migrationsnotbremse-ziehen/"
6,"https://afdbundestag.de/stephan-protschka-bundesregierung-schliesst-gefahren-durch-mit-uranstaub-kontaminierte-lebensmittel-nicht-aus/"
6,"https://afdbundestag.de/mariana-harder-kuehnel-gendersprache-raus-aus-den-medien/"
7,"https://afdbundestag.de/rene-springer-baerbock-und-heil-auf-verzweiflungsreise-fachkraeftemangel-bleibt-hausgemachtes-problem/"
