"url","title","date","X.bauen.wohnen.stadtentwicklung.","prompt","fulltext","X.Hanna.Steinmüller."
"https://www.gruene-bundestag.de/presse/pressestatements/hanna-steinmueller-zum-kabinettsbeschluss-des-wohngeld-und-mietenberichts-2021/2022","Hanna Steinmüller zum Kabinettsbeschluss des Wohngeld- und Mietenberichts 2021/2022","21.06.2023","bauen-wohnen-stadtentwicklung","Zum heutigen Kabinettsbeschluss des Wohngeld- und Mietenberichts 2021/2022 der Bundesregierung erklärt Hanna Steinmüller, Mitglied im Ausschuss für Wohnen, Stadtentwicklung, Bauwesen und Kommunen:","“Der aktuelle Wohngeld- und Mietenbericht belegt schwarz auf weiß, was Mieter*innen jeden Monat spüren: Wohnen wird immer teurer. Allein im letzten Jahr sind die Preise, zu denen Wohnungen angeboten werden, im Durchschnitt um vier Prozent gestiegen. Neubau-Wohnungen kosteten sogar acht Prozent mehr als im Vorjahr. Besonders krass ist aber der Anstieg der warmen Nebenkosten: Diese sind im vergangenen Jahr im Durchschnitt um mehr als 30 Prozent gestiegen! Es ist offensichtlich: die fossile Energiekrise durch den russischen Angriffskrieg gegen die Ukraine schlägt voll auf die Mieter*innen durch. Es ist deshalb gut und wichtig, dass wir durch die Wohngeldnovelle, die Heizkostenzuschüsse und die faire Aufteilung der CO2-Kosten im vergangenen Jahr für einige soziale Entlastungen sorgen konnten. Aber damit Wohnen nicht immer teurer wird, brauchen wir noch mehr: Wir müssen einerseits noch bezahlbare Wohnungen absichern, indem wir schnell das Mietrecht novellieren und das kommunale Vorkaufsrecht wieder nutzbar machen. Andererseits müssen wir endlich die Neue Wohngemeinnützigkeit einführen, damit neue, dauerhaft bezahlbare Wohnungen geschaffen werden können.”","Hanna Steinmüller"
"https://www.gruene-bundestag.de/presse/pressestatements/julia-verlinden-zum-heutigen-kabinettsbeschluss-zum-strassenverkehrsgesetz","Julia Verlinden zum heutigen Kabinettsbeschluss zum Straßenverkehrsgesetz","21.06.2023","kommunen","Zum heutigen Kabinettsbeschluss zum Straßenverkehrsgesetz erklärt Julia Verlinden, Stellvertretende Fraktionsvorsitzende:","„Der heutige Kabinettsbeschluss zur Reform des Straßenverkehrsgesetzes ist ein erster Schritt zu einer Kehrtwende im deutschen Verkehrsrecht. Erstmals werden Ziele des Klima- und Umweltschutzes, der Gesundheit und der städtebaulichen Entwicklung im Gesetz gleichrangig verankert.Besonders für Kinder, Familien und ältere Menschen wird dies die Verkehrssicherheit erhöhen, weil es vor Ort mehr Entscheidungsfreiheit und Handlungsspielraum gibt, beispielsweise Radwege, Zebrastreifen oder Tempo 30 einzurichten. Wir brechen damit erstmals mit dem Prinzip, dass es erst Tote und Schwerverletzte geben muss, bevor Sicherheitsmaßnahmen ergriffen werden können.Die Entscheider*innen vor Ort wissen am besten, wo sich Problemstellen befinden, deshalb ist es wichtig, dass wir ihnen jetzt diese neuen Freiheiten zum Schutz der Menschen einräumen.Wir werden in den parlamentarischen Beratungen darauf achten, die neuen Entscheidungsspielräume noch weiter zu stärken.“","Dr. Julia Verlinden
Stellvertretende Fraktionsvorsitzende"
"https://www.gruene-bundestag.de/presse/pressestatements/julia-verlinden-zum-heutigen-kabinettsbeschluss-zum-strassenverkehrsgesetz","Julia Verlinden zum heutigen Kabinettsbeschluss zum Straßenverkehrsgesetz","21.06.2023","mobilitaet","Zum heutigen Kabinettsbeschluss zum Straßenverkehrsgesetz erklärt Julia Verlinden, Stellvertretende Fraktionsvorsitzende:","„Der heutige Kabinettsbeschluss zur Reform des Straßenverkehrsgesetzes ist ein erster Schritt zu einer Kehrtwende im deutschen Verkehrsrecht. Erstmals werden Ziele des Klima- und Umweltschutzes, der Gesundheit und der städtebaulichen Entwicklung im Gesetz gleichrangig verankert.Besonders für Kinder, Familien und ältere Menschen wird dies die Verkehrssicherheit erhöhen, weil es vor Ort mehr Entscheidungsfreiheit und Handlungsspielraum gibt, beispielsweise Radwege, Zebrastreifen oder Tempo 30 einzurichten. Wir brechen damit erstmals mit dem Prinzip, dass es erst Tote und Schwerverletzte geben muss, bevor Sicherheitsmaßnahmen ergriffen werden können.Die Entscheider*innen vor Ort wissen am besten, wo sich Problemstellen befinden, deshalb ist es wichtig, dass wir ihnen jetzt diese neuen Freiheiten zum Schutz der Menschen einräumen.Wir werden in den parlamentarischen Beratungen darauf achten, die neuen Entscheidungsspielräume noch weiter zu stärken.“","Dr. Julia Verlinden
Stellvertretende Fraktionsvorsitzende"
"https://www.gruene-bundestag.de/presse/pressestatements/britta-hasselmann-zu-den-themen-fachkraefteeinwanderungsgesetz-gebaeudeenergiegesetz-und-sachorientierte-arbeit-im-bundestag","Britta Haßelmann zu den Themen Fachkräfteeinwanderungsgesetz, Gebäudeenergiegesetz und sachorientierte Arbeit im Bundestag","20.06.2023","arbeit","Anlässlich der heutigen Fraktionssitzung der Grünen Bundestagsfraktion nachfolgend Statements der Fraktionsvorsitzenden Britta Haßelmann zu den Themen Fachkräfteeinwanderungsgesetz, Gebäudeenergiegesetz und sachorientierte Arbeit im Bundestag:

Diese parlamentarische Woche ist prall gefüllt mit Initiativen, die wir uns als Ampel vorgenommen haben und in dieser Woche zum Abschluss bringen.

Fachkräfteeinwanderungsgesetz:
Wir alle wissen, dass in Deutschland überall Fachkräfte und Arbeitskräfte fehlen, dass wir dagegen etwas tun müssen. Und deshalb bin ich sehr froh, dass wir es schaffen, mit einem neuen Einwanderungsrecht dieser Entwicklung entgegenzuwirken. Wir schaffen endlich ein Einwanderungsrecht, das Deutschland und die Lebenswirklichkeit der Menschen hier im Land angemessen berücksichtigt. Wir werden etwas tun gegen den Arbeitskräftemangel, gegen den Fachkräftemangel, der allerorten spürbar ist, ob in der Pflege, im Handwerk, in Industrie oder Wirtschaft. Dafür gehen wir mit zwei Gesetzesvorhaben in dieser Woche in den Abschluss der Beratungen.

Bildung und Qualifizierung stärken wir mit einem Gesetz zur Weiterbildung und zur Ausbildungsgarantie. Das ist ein wichtiges Signal, dass wir die Frage des lebenslangen Lernens einerseits und die Qualifizierung während der Berufszeit unterstützen und stärken. Wir verbinden das mit einer Ausbildungsgarantie, denn wir sind der Auffassung, dass jeder junge Mensch die Chance und das Recht auf Ausbildung haben soll.

Und wir sichern mit dem Fachkräfteeinwanderungsgesetz eine neue Möglichkeit, dass Menschen, die zu uns kommen, hier arbeiten und ihren Status, ihren Aufenthalt sichern können.

Mit dem Fachkräfteeinwanderungsgesetz, das wir in zweiter, dritter Lesung in dieser Woche verabschieden, modernisieren wir das Einwanderungsrecht und sehen den Einstieg in den Spurwechsel vor. Wir haben darüber hinaus einen Bürokratieabbau durch die Veränderung beim Zweckwechsel. Und wir ermöglichen den Familienmitzug. Drei Dinge, die sehr wichtig sind für die Entscheidung von Menschen, nach Deutschland zu kommen um hier zu leben und zu arbeiten.

Deshalb freue ich mich, dass es der Ampel gelungen ist, dieses wichtige Projekt in dieser Woche auf den Weg zu bringen.

Gebäudeenergiegesetz:
Ein zweites für uns sehr relevantes Vorhaben: das Gebäudeenergiegesetz. Wir steigen ein in die parlamentarischen Beratungen. In den Anhörungen der Fachausschüsse werden die Berichterstatter*innen gemeinsam mit Fachleuten aus Wissenschaft und Praxis unsere Arbeit hier im Parlament öffentlich beraten. In den nächsten zwei Wochen werden wir mit ihnen über die Fragen des Gebäudeenergiegesetzes diskutieren. Denn wir wissen, die Klimakrise erfordert von uns Einsparungen auch im Bereich der Gebäude. Und deshalb ist das Gebäudeenergiegesetz von so großer Relevanz.

Damit werden Bürgerinnen und Bürger und Industrie und Wirtschaft genau wissen, was auf sie zukommt. Wir werden das Ganze sozial abfedern. Und wir sichern so die Unabhängigkeit von fossilen Energien, damit Bürgerinnen und Bürger, Industrie und Handwerk nicht in eine Kostenfalle geraten für die Zukunft.

Deshalb: Klimaschutz, soziale Abfederung und einen klaren Fahrplan für die Umsetzung des Gebäudeenergiegesetzes diskutieren wir in dieser Woche.

Sachorientierte Arbeit im Bundestag:
Angesichts der vielen Herausforderungen, die wir für die Zukunft haben - ob beim Einwanderungsrecht, bei der Pflegeversicherung, bei der Frage des Gebäudeenergiegesetzes, - ist es besonders wichtig, dass eine sachorientierte Auseinandersetzung stattfindet.

Das heißt, im Zusammenspiel zwischen Regierungsfraktionen und Opposition ist ein Diskurs über wichtige inhaltliche Ideen und Konzepte von großer Relevanz und Notwendigkeit. Was in dieser Debatte keinen Raum haben sollte, ist spaltender Populismus. Und ich glaube, dass die stärkste Oppositionsfraktion im Deutschen Bundestag mit Friedrich Merz an der Spitze sehr gut beraten wäre, sich auf eine sachorientierte Politik zu konzentrieren, statt auf spaltenden Populismus. Wir haben gerade wieder beim Grundsatzkonvent der CDU erlebt, dass man sich mit Fragen von Gender-Sprache – und andere Themen will ich gar nicht ansprechen, weil sie den Respekt vor Menschen vermissen lassen – beschäftigt, anstatt sich mit den wirklich zentralen gesellschaftlichen Auseinandersetzungen und Herausforderungen zu beschäftigen: der Bekämpfung der Klimakrise, der Frage der Energieversorgung der Zukunft, des Ausbaus der erneuerbaren Energien, der Frage der sozialen Sicherung oder aber auch zum Beispiel der Tierhaltungskennzeichnung, um Bauern und Bäuerinnen für die Zukunft Planungssicherheit für ihre landwirtschaftlichen Betriebe zu geben. Bei all diesen Fragen spüre ich, dass es der CDU/CSU im Moment nicht darum geht, sich sachorientiert auseinanderzusetzen und Alternativen zu unseren Ideen vorzutragen, sondern durch die Art und Weise, wie man Dinge bearbeitet und vorträgt, eher spaltet. Das halte ich für ein großes Problem.

Friedrich Merz ist angetreten, die AfD zu halbieren. Wenn man sieht, wie sich die Werte entwickeln, ist klar, dass ihm das nicht gelingt. Und selbstkritisch muss sich hier jede und jeder von uns fragen, was das mit der eigenen Verortung und mit der eigenen Art, Politik zu machen, zu tun hat. Deshalb glaube ich: Wer jedes Maß verliert in der Auseinandersetzung, verliert auch die Mitte. Und deshalb kann ich nur dazu auffordern, konstruktive sachorientierte Arbeit zu machen. Wir setzen uns an jeder Stelle gerne mit inhaltlichen Ideen und Konzepten auseinander. Die lassen leider CDU/CSU vermissen in der inhaltlichen Beratung vieler Gesetzesvorhaben.","","Britta Haßelmann
Fraktionsvorsitzende"
"https://www.gruene-bundestag.de/presse/pressestatements/britta-hasselmann-zu-den-themen-fachkraefteeinwanderungsgesetz-gebaeudeenergiegesetz-und-sachorientierte-arbeit-im-bundestag","Britta Haßelmann zu den Themen Fachkräfteeinwanderungsgesetz, Gebäudeenergiegesetz und sachorientierte Arbeit im Bundestag","20.06.2023","energie","Anlässlich der heutigen Fraktionssitzung der Grünen Bundestagsfraktion nachfolgend Statements der Fraktionsvorsitzenden Britta Haßelmann zu den Themen Fachkräfteeinwanderungsgesetz, Gebäudeenergiegesetz und sachorientierte Arbeit im Bundestag:

Diese parlamentarische Woche ist prall gefüllt mit Initiativen, die wir uns als Ampel vorgenommen haben und in dieser Woche zum Abschluss bringen.

Fachkräfteeinwanderungsgesetz:
Wir alle wissen, dass in Deutschland überall Fachkräfte und Arbeitskräfte fehlen, dass wir dagegen etwas tun müssen. Und deshalb bin ich sehr froh, dass wir es schaffen, mit einem neuen Einwanderungsrecht dieser Entwicklung entgegenzuwirken. Wir schaffen endlich ein Einwanderungsrecht, das Deutschland und die Lebenswirklichkeit der Menschen hier im Land angemessen berücksichtigt. Wir werden etwas tun gegen den Arbeitskräftemangel, gegen den Fachkräftemangel, der allerorten spürbar ist, ob in der Pflege, im Handwerk, in Industrie oder Wirtschaft. Dafür gehen wir mit zwei Gesetzesvorhaben in dieser Woche in den Abschluss der Beratungen.

Bildung und Qualifizierung stärken wir mit einem Gesetz zur Weiterbildung und zur Ausbildungsgarantie. Das ist ein wichtiges Signal, dass wir die Frage des lebenslangen Lernens einerseits und die Qualifizierung während der Berufszeit unterstützen und stärken. Wir verbinden das mit einer Ausbildungsgarantie, denn wir sind der Auffassung, dass jeder junge Mensch die Chance und das Recht auf Ausbildung haben soll.

Und wir sichern mit dem Fachkräfteeinwanderungsgesetz eine neue Möglichkeit, dass Menschen, die zu uns kommen, hier arbeiten und ihren Status, ihren Aufenthalt sichern können.

Mit dem Fachkräfteeinwanderungsgesetz, das wir in zweiter, dritter Lesung in dieser Woche verabschieden, modernisieren wir das Einwanderungsrecht und sehen den Einstieg in den Spurwechsel vor. Wir haben darüber hinaus einen Bürokratieabbau durch die Veränderung beim Zweckwechsel. Und wir ermöglichen den Familienmitzug. Drei Dinge, die sehr wichtig sind für die Entscheidung von Menschen, nach Deutschland zu kommen um hier zu leben und zu arbeiten.

Deshalb freue ich mich, dass es der Ampel gelungen ist, dieses wichtige Projekt in dieser Woche auf den Weg zu bringen.

Gebäudeenergiegesetz:
Ein zweites für uns sehr relevantes Vorhaben: das Gebäudeenergiegesetz. Wir steigen ein in die parlamentarischen Beratungen. In den Anhörungen der Fachausschüsse werden die Berichterstatter*innen gemeinsam mit Fachleuten aus Wissenschaft und Praxis unsere Arbeit hier im Parlament öffentlich beraten. In den nächsten zwei Wochen werden wir mit ihnen über die Fragen des Gebäudeenergiegesetzes diskutieren. Denn wir wissen, die Klimakrise erfordert von uns Einsparungen auch im Bereich der Gebäude. Und deshalb ist das Gebäudeenergiegesetz von so großer Relevanz.

Damit werden Bürgerinnen und Bürger und Industrie und Wirtschaft genau wissen, was auf sie zukommt. Wir werden das Ganze sozial abfedern. Und wir sichern so die Unabhängigkeit von fossilen Energien, damit Bürgerinnen und Bürger, Industrie und Handwerk nicht in eine Kostenfalle geraten für die Zukunft.

Deshalb: Klimaschutz, soziale Abfederung und einen klaren Fahrplan für die Umsetzung des Gebäudeenergiegesetzes diskutieren wir in dieser Woche.

Sachorientierte Arbeit im Bundestag:
Angesichts der vielen Herausforderungen, die wir für die Zukunft haben - ob beim Einwanderungsrecht, bei der Pflegeversicherung, bei der Frage des Gebäudeenergiegesetzes, - ist es besonders wichtig, dass eine sachorientierte Auseinandersetzung stattfindet.

Das heißt, im Zusammenspiel zwischen Regierungsfraktionen und Opposition ist ein Diskurs über wichtige inhaltliche Ideen und Konzepte von großer Relevanz und Notwendigkeit. Was in dieser Debatte keinen Raum haben sollte, ist spaltender Populismus. Und ich glaube, dass die stärkste Oppositionsfraktion im Deutschen Bundestag mit Friedrich Merz an der Spitze sehr gut beraten wäre, sich auf eine sachorientierte Politik zu konzentrieren, statt auf spaltenden Populismus. Wir haben gerade wieder beim Grundsatzkonvent der CDU erlebt, dass man sich mit Fragen von Gender-Sprache – und andere Themen will ich gar nicht ansprechen, weil sie den Respekt vor Menschen vermissen lassen – beschäftigt, anstatt sich mit den wirklich zentralen gesellschaftlichen Auseinandersetzungen und Herausforderungen zu beschäftigen: der Bekämpfung der Klimakrise, der Frage der Energieversorgung der Zukunft, des Ausbaus der erneuerbaren Energien, der Frage der sozialen Sicherung oder aber auch zum Beispiel der Tierhaltungskennzeichnung, um Bauern und Bäuerinnen für die Zukunft Planungssicherheit für ihre landwirtschaftlichen Betriebe zu geben. Bei all diesen Fragen spüre ich, dass es der CDU/CSU im Moment nicht darum geht, sich sachorientiert auseinanderzusetzen und Alternativen zu unseren Ideen vorzutragen, sondern durch die Art und Weise, wie man Dinge bearbeitet und vorträgt, eher spaltet. Das halte ich für ein großes Problem.

Friedrich Merz ist angetreten, die AfD zu halbieren. Wenn man sieht, wie sich die Werte entwickeln, ist klar, dass ihm das nicht gelingt. Und selbstkritisch muss sich hier jede und jeder von uns fragen, was das mit der eigenen Verortung und mit der eigenen Art, Politik zu machen, zu tun hat. Deshalb glaube ich: Wer jedes Maß verliert in der Auseinandersetzung, verliert auch die Mitte. Und deshalb kann ich nur dazu auffordern, konstruktive sachorientierte Arbeit zu machen. Wir setzen uns an jeder Stelle gerne mit inhaltlichen Ideen und Konzepten auseinander. Die lassen leider CDU/CSU vermissen in der inhaltlichen Beratung vieler Gesetzesvorhaben.","","Britta Haßelmann
Fraktionsvorsitzende"
"https://www.gruene-bundestag.de/presse/pressestatements/britta-hasselmann-zu-den-themen-fachkraefteeinwanderungsgesetz-gebaeudeenergiegesetz-und-sachorientierte-arbeit-im-bundestag","Britta Haßelmann zu den Themen Fachkräfteeinwanderungsgesetz, Gebäudeenergiegesetz und sachorientierte Arbeit im Bundestag","20.06.2023","integration-migration-flucht","Anlässlich der heutigen Fraktionssitzung der Grünen Bundestagsfraktion nachfolgend Statements der Fraktionsvorsitzenden Britta Haßelmann zu den Themen Fachkräfteeinwanderungsgesetz, Gebäudeenergiegesetz und sachorientierte Arbeit im Bundestag:

Diese parlamentarische Woche ist prall gefüllt mit Initiativen, die wir uns als Ampel vorgenommen haben und in dieser Woche zum Abschluss bringen.

Fachkräfteeinwanderungsgesetz:
Wir alle wissen, dass in Deutschland überall Fachkräfte und Arbeitskräfte fehlen, dass wir dagegen etwas tun müssen. Und deshalb bin ich sehr froh, dass wir es schaffen, mit einem neuen Einwanderungsrecht dieser Entwicklung entgegenzuwirken. Wir schaffen endlich ein Einwanderungsrecht, das Deutschland und die Lebenswirklichkeit der Menschen hier im Land angemessen berücksichtigt. Wir werden etwas tun gegen den Arbeitskräftemangel, gegen den Fachkräftemangel, der allerorten spürbar ist, ob in der Pflege, im Handwerk, in Industrie oder Wirtschaft. Dafür gehen wir mit zwei Gesetzesvorhaben in dieser Woche in den Abschluss der Beratungen.

Bildung und Qualifizierung stärken wir mit einem Gesetz zur Weiterbildung und zur Ausbildungsgarantie. Das ist ein wichtiges Signal, dass wir die Frage des lebenslangen Lernens einerseits und die Qualifizierung während der Berufszeit unterstützen und stärken. Wir verbinden das mit einer Ausbildungsgarantie, denn wir sind der Auffassung, dass jeder junge Mensch die Chance und das Recht auf Ausbildung haben soll.

Und wir sichern mit dem Fachkräfteeinwanderungsgesetz eine neue Möglichkeit, dass Menschen, die zu uns kommen, hier arbeiten und ihren Status, ihren Aufenthalt sichern können.

Mit dem Fachkräfteeinwanderungsgesetz, das wir in zweiter, dritter Lesung in dieser Woche verabschieden, modernisieren wir das Einwanderungsrecht und sehen den Einstieg in den Spurwechsel vor. Wir haben darüber hinaus einen Bürokratieabbau durch die Veränderung beim Zweckwechsel. Und wir ermöglichen den Familienmitzug. Drei Dinge, die sehr wichtig sind für die Entscheidung von Menschen, nach Deutschland zu kommen um hier zu leben und zu arbeiten.

Deshalb freue ich mich, dass es der Ampel gelungen ist, dieses wichtige Projekt in dieser Woche auf den Weg zu bringen.

Gebäudeenergiegesetz:
Ein zweites für uns sehr relevantes Vorhaben: das Gebäudeenergiegesetz. Wir steigen ein in die parlamentarischen Beratungen. In den Anhörungen der Fachausschüsse werden die Berichterstatter*innen gemeinsam mit Fachleuten aus Wissenschaft und Praxis unsere Arbeit hier im Parlament öffentlich beraten. In den nächsten zwei Wochen werden wir mit ihnen über die Fragen des Gebäudeenergiegesetzes diskutieren. Denn wir wissen, die Klimakrise erfordert von uns Einsparungen auch im Bereich der Gebäude. Und deshalb ist das Gebäudeenergiegesetz von so großer Relevanz.

Damit werden Bürgerinnen und Bürger und Industrie und Wirtschaft genau wissen, was auf sie zukommt. Wir werden das Ganze sozial abfedern. Und wir sichern so die Unabhängigkeit von fossilen Energien, damit Bürgerinnen und Bürger, Industrie und Handwerk nicht in eine Kostenfalle geraten für die Zukunft.

Deshalb: Klimaschutz, soziale Abfederung und einen klaren Fahrplan für die Umsetzung des Gebäudeenergiegesetzes diskutieren wir in dieser Woche.

Sachorientierte Arbeit im Bundestag:
Angesichts der vielen Herausforderungen, die wir für die Zukunft haben - ob beim Einwanderungsrecht, bei der Pflegeversicherung, bei der Frage des Gebäudeenergiegesetzes, - ist es besonders wichtig, dass eine sachorientierte Auseinandersetzung stattfindet.

Das heißt, im Zusammenspiel zwischen Regierungsfraktionen und Opposition ist ein Diskurs über wichtige inhaltliche Ideen und Konzepte von großer Relevanz und Notwendigkeit. Was in dieser Debatte keinen Raum haben sollte, ist spaltender Populismus. Und ich glaube, dass die stärkste Oppositionsfraktion im Deutschen Bundestag mit Friedrich Merz an der Spitze sehr gut beraten wäre, sich auf eine sachorientierte Politik zu konzentrieren, statt auf spaltenden Populismus. Wir haben gerade wieder beim Grundsatzkonvent der CDU erlebt, dass man sich mit Fragen von Gender-Sprache – und andere Themen will ich gar nicht ansprechen, weil sie den Respekt vor Menschen vermissen lassen – beschäftigt, anstatt sich mit den wirklich zentralen gesellschaftlichen Auseinandersetzungen und Herausforderungen zu beschäftigen: der Bekämpfung der Klimakrise, der Frage der Energieversorgung der Zukunft, des Ausbaus der erneuerbaren Energien, der Frage der sozialen Sicherung oder aber auch zum Beispiel der Tierhaltungskennzeichnung, um Bauern und Bäuerinnen für die Zukunft Planungssicherheit für ihre landwirtschaftlichen Betriebe zu geben. Bei all diesen Fragen spüre ich, dass es der CDU/CSU im Moment nicht darum geht, sich sachorientiert auseinanderzusetzen und Alternativen zu unseren Ideen vorzutragen, sondern durch die Art und Weise, wie man Dinge bearbeitet und vorträgt, eher spaltet. Das halte ich für ein großes Problem.

Friedrich Merz ist angetreten, die AfD zu halbieren. Wenn man sieht, wie sich die Werte entwickeln, ist klar, dass ihm das nicht gelingt. Und selbstkritisch muss sich hier jede und jeder von uns fragen, was das mit der eigenen Verortung und mit der eigenen Art, Politik zu machen, zu tun hat. Deshalb glaube ich: Wer jedes Maß verliert in der Auseinandersetzung, verliert auch die Mitte. Und deshalb kann ich nur dazu auffordern, konstruktive sachorientierte Arbeit zu machen. Wir setzen uns an jeder Stelle gerne mit inhaltlichen Ideen und Konzepten auseinander. Die lassen leider CDU/CSU vermissen in der inhaltlichen Beratung vieler Gesetzesvorhaben.","","Britta Haßelmann
Fraktionsvorsitzende"
"https://www.gruene-bundestag.de/presse/pressestatements/renate-kuenast-zum-rechtsgutachten-zur-werbung-fuer-ungesunde-lebensmittel","Renate Künast zum Rechtsgutachten zur Werbung für ungesunde Lebensmittel","16.06.2023","ernaehrung","Zum von Foodwatch beauftragten Rechtsgutachten zur Werbung für ungesunde Lebensmittel erklärt Renate Künast, Sprecherin für Ernährung und Landwirtschaft:","\"Mit der Kinderrechtskonvention haben wir uns verpflichtet, die Gesundheit von Kindern zu schützen, auch vor zu viel Zucker, Fett und Salz.Kinderwerbung ist ein süßer Verführer, der nachweislich dazu führt, dass Kinder mehr Zuckerbomben, Snacks und Junkfood konsumieren. Das führt zu Übergewicht und anderen ernährungsbedingten Krankheiten. Deshalb müssen wir dringend Werbung für ungesunde Lebensmittel regulieren, um unsere Kinder zu schützen. Wir stellen uns der Aufgabe, dass Kinder gesund aufwachsen können und es für die Lebensmittel- und Werbeindustrie handhabbare Regeln gibt. Das wird auch die von der Industrie lange versprochene Änderung der Rezepturen unterstützen.Deshalb freuen wir uns darüber, dass Teile der Lebensmittelindustrie und des Handels die geplante Werberegulierung unterstützen!Es ist gut, dass das von Foodwatch in Auftrag gegebene Rechtsgutachten die Zuständigkeit des Bundes bei den anstehenden Regulierungen noch einmal klarstellt.\"","Renate Künast
Leiterin der AG Ernährung und Landwirtschaft (Sprecherin)"
"https://www.gruene-bundestag.de/presse/pressestatements/renate-kuenast-zum-rechtsgutachten-zur-werbung-fuer-ungesunde-lebensmittel","Renate Künast zum Rechtsgutachten zur Werbung für ungesunde Lebensmittel","16.06.2023","jugend","Zum von Foodwatch beauftragten Rechtsgutachten zur Werbung für ungesunde Lebensmittel erklärt Renate Künast, Sprecherin für Ernährung und Landwirtschaft:","\"Mit der Kinderrechtskonvention haben wir uns verpflichtet, die Gesundheit von Kindern zu schützen, auch vor zu viel Zucker, Fett und Salz.Kinderwerbung ist ein süßer Verführer, der nachweislich dazu führt, dass Kinder mehr Zuckerbomben, Snacks und Junkfood konsumieren. Das führt zu Übergewicht und anderen ernährungsbedingten Krankheiten. Deshalb müssen wir dringend Werbung für ungesunde Lebensmittel regulieren, um unsere Kinder zu schützen. Wir stellen uns der Aufgabe, dass Kinder gesund aufwachsen können und es für die Lebensmittel- und Werbeindustrie handhabbare Regeln gibt. Das wird auch die von der Industrie lange versprochene Änderung der Rezepturen unterstützen.Deshalb freuen wir uns darüber, dass Teile der Lebensmittelindustrie und des Handels die geplante Werberegulierung unterstützen!Es ist gut, dass das von Foodwatch in Auftrag gegebene Rechtsgutachten die Zuständigkeit des Bundes bei den anstehenden Regulierungen noch einmal klarstellt.\"","Renate Künast
Leiterin der AG Ernährung und Landwirtschaft (Sprecherin)"
"https://www.gruene-bundestag.de/presse/pressestatements/stefan-gelbhaar-zum-kabinettsbeschluss-zur-novellierung-der-lkw-maut","Stefan Gelbhaar zum Kabinettsbeschluss zur Novellierung der Lkw-Maut","14.06.2023","mobilitaet","Zum Kabinettsbeschluss zur Novellierung der Lkw-Maut erklärt Stefan Gelbhaar, Sprecher für Verkehrspolitik:","„Die Novellierung der Lkw-Maut bringt endlich eine ökologische Lenkungswirkung. Das ist ein guter Tag für den Klimaschutz. So wird der CO2-Preis auf 200 Euro pro Tonne verdoppelt und der Geltungsbereich der Maut auf Lkw ab 3,5 Tonnen ausgeweitet. Dadurch werden rund 7,4 Milliarden Euro zusätzlich im nächsten Jahr eingenommen. Der Grundsatz ,Straße finanziert Straße‘ wird endlich durchbrochen. Die Einnahmen gehen in den Ausbau der Schieneninfrastruktur. Das ist das fundamental Neue an diesem Gesetz. Dies muss nun in die schnelle Elektrifizierung, Digitalisierung und Ausbau der Schienen-Infrastruktur fließen. Die Straßengüterbranche erhält zudem endlich die notwendige Planungssicherheit. Investitionen in klimafreundlichere Transportvarianten und -antriebe können damit auf klarer Grundlage getätigt werden, Transportverträge entsprechend der rechtlichen Rahmenbedingungen geschlossen werden.“","Stefan Gelbhaar
Leiter der AG Mobilität (Sprecher)"
"https://www.gruene-bundestag.de/presse/pressestatements/katharina-droege-zu-den-verhandlungen-um-das-gebaeudeenergiegesetz","Katharina Dröge zu den Verhandlungen um das Gebäudeenergiegesetz","13.06.2023","energie","
Anlässlich der heutigen Fraktionssitzung der Grünen Bundestagsfraktion nachfolgend Statements der Fraktionsvorsitzenden Katharina Dröge zu den Verhandlungen um das Gebäudeenergiegesetz:","Noch ist das Kind nicht auf der Welt. Das heißt, noch hat sich die Ampel nicht verständigen können auf eine Einigung zum Gebäudeenergiegesetz. Aber unser Ziel ist es, weiterhin zu sprechen, um auch in dieser Woche noch zu einer Aufsetzung zu kommen. Aus unserer Sicht als Grüne ist das auch enorm wichtig, dass wir diesen Schritt jetzt machen. Die Menschen warten lange genug auf eine Entscheidung der Ampel. Wir haben lange genug öffentlich miteinander diskutiert. Das heißt, das parlamentarische Beratungsverfahren muss beginnen. Das heißt auch, dass alle Partner Schritte aufeinander zu machen müssen. Für uns Grüne ist zentral in dieser Frage, dass wir auf der einen Seite Klimaschutz erreichen. Das heißt, jeder, der sich für eine neue Heizung entscheidet, aus welchem Grund auch immer, soll sich für eine klimafreundliche Heizung entscheiden. Und auf der anderen Seite, dass das Gesetz so sozial ausgestaltet ist, dass jede und jeder auch mitmachen kann bei diesem Gesetz.Ich bin sehr optimistisch, dass wir da auch zur Verständigung kommen. Manchmal sind es weite Wege in einer Koalition. Und diese Schritte müssen wir offensichtlich noch machen. Ich hätte Ihnen gerne jetzt schon verkündet, dass wir das Ganze auf die Tagesordnung des Deutschen Bundestages aufgesetzt hätten. Das ist mit Sicherheit nicht das gewöhnlichste Beratungsverfahren, was wir an der Stelle präsentieren können. Deswegen wäre es jetzt auch aus meiner Sicht ein wichtiges Zeichen für die Handlungsfähigkeit der Ampel, wenn wir zeitnah dazu kommen, dieses Gesetz auch aufzusetzen.","Katharina Dröge
Fraktionsvorsitzende"
