url,date,author,headline,subtitle,primer,text
https://www.cducsu.de/presse/pressemitteilungen/oezdemir-muss-klarheit-ueber-seine-verbotsplaene-schaffen,24.06.2023,Steffen Bilger,Özdemir muss Klarheit über seine Verbotspläne schaffen,,"Bundeslandwirtschaftsminister Özdemir hat angekündigt, seinen Gesetzentwurf für Lebensmittel-Werbeverbote abzuschwächen. Dazu können Sie den Stellvertretenden Vorsitzenden der CDU/CSU-Bundestagsfraktion, Steffen Bilger, gerne wie folgt zitieren:","""Offensichtlich erkennt Minister Özdemir endlich, dass seine bisherigen Werbeverbotspläne weder rechtlich machbar noch in der Sache haltbar sind. Seit Monaten erleben wir immer neue mediale Ankündigungen und Kurskorrekturen, während der Minister im Parlament konkrete Antworten schuldig bleibt. Als Opposition verlangen wir endlich ein ordentliches parlamentarisches Beratungsverfahren. Es muss klar sein, welche Lebensmittel von dem Verbot betroffen sein sollen. Bislang lässt der Minister hier Transparenz vermissen. Das sorgt bei allen Betroffenen, egal ob Handwerksbetrieb, Industrie oder Verbraucher, für Unsicherheit und Verdruss.""
 "
https://www.cducsu.de/presse/pressemitteilungen/kloeckner-deutschland-braucht-ein-fitness-paket-fuer-wachstum-und-beschaeftigung,23.06.2023,Julia Klöckner,Klöckner: Deutschland braucht ein Fitness-Paket für Wachstum und Beschäftigung,Rezession und hohe Inflation sind Belastung ,"Anlässlich der heutigen Debatte im Deutschen Bundestag zur Rezession in Deutschland erklärt Julia Klöckner, wirtschaftspolitische Sprecherin der CDU/CSU-Bundestagsfraktion:","„Die Bundesregierung verkennt die wirtschaftliche Lage in Deutschland. Die Realität aber ist: Rezession und hohe Inflation belasten die Unternehmen und Menschen in unserem Land. Die jüngste Prognose des ifo-Instituts reiht sich ein in eine Reihe von Hiobsbotschaften: Die deutsche Wirtschaft schrumpft auch im Gesamtjahr 2023, um 0,4 Prozent! Damit stehen wir allein da. In Europa legt die Wirtschaft zu, auch in den USA. Und bei der Wettbewerbsfähigkeit belegt unser Standort nur noch Platz 22, hinter China und Saudi-Arabien.
Die Ampel-Regierung macht eine falsche Standortpolitik. Die aktuelle Energiepolitik verunsichert und belastet, Wirtschaftspolitik findet nicht statt. Unserem Land droht auf Jahre Stillstand, unsere Industrie steht auf dem Spiel. Deutschland braucht jetzt dringend ein Fitness-Paket. Es geht um „strategische Wettbewerbsfähigkeit und die Stärkung unserer Marktwirtschaft.  Wir brauchen wettbewerbsfähige Energiepreise. Belastungen und bürokratische Hürden müssen radikal abgebaut werden. Wir als Union haben unsere Ideen für einen attraktiven Wirtschaftsstandort schon mehrfach im Bundestag eingebracht und bieten unsere konstruktive Zusammenarbeit an!“
 "
https://www.cducsu.de/presse/pressemitteilungen/der-grundrentenzuschlag-wirkt-und-erhoeht-die-lebensqualitaet-von-millionen-rentnerinnen-und-rentnern,23.06.2023,Stephan Stracke,Der Grundrentenzuschlag wirkt und erhöht die Lebensqualität von Millionen Rentnerinnen und Rentnern,,"Die Deutsche Rentenversicherung hat bei der Bundesvertreterversammlung in Travemünde aktuelle Zahlen zur Grundrente bekannt gegeben. Dazu können Sie den arbeitsmarkt- und sozialpolitischen Sprecher der CDU/CSU-Bundestagsfraktion Stephan Stracke, gerne wie folgt zitieren:","„Die Grundrente hat sich als nachhaltiger Erfolg erwiesen. Das belegen die aktuellen Zahlen der Deutschen Rentenversicherung. Demnach erhielten Ende 2022 rund 1,1 Millionen Rentnerinnen und Rentner einen Grundrentenzuschlag. Im Schnitt erhöhen sich die Renten um rund 90 Euro im Monat. Arbeit macht den Unterschied. Wer gearbeitet hat, hat im Alter eine Rente über der Grundsicherung. Das ist Anerkennung der Lebensleistung für diejenigen, die jahrzehntelang gearbeitet, Kinder erzogen und Angehörige gepflegt haben. Die durchschnittliche Grundrentenhöhe von zusätzlich 90 Euro im Monat beweist: Die von CDU und CSU eingeführte Grundrente hat sich bewährt. Sie ist Ausdruck einer klugen Sozialpolitik.“"
https://www.cducsu.de/presse/pressemitteilungen/deutschland-muss-bei-eu-mercosur-abkommen-fuehrungsrolle-einnehmen,23.06.2023,Julia Klöckner,Deutschland muss bei EU-Mercosur Abkommen Führungsrolle einnehmen,Ampel tut das Gegenteil und lehnt Unionsantrag zur Ratifizierung ab,"Anlässlich der heutigen Debatte zum EU-Mercosur Abkommen erklärt Julia Klöckner, wirtschaftspolitische Sprecherin der CDU/CSU-Bundestagsfraktion:","„Eine rasche Ratifizierung des Handelsabkommens zwischen der EU und den Mercosur-Staaten ist wirtschaftlich und geopolitisch geboten. Sollte es der EU nicht gelingen, als erste Region das bereits ausgehandelte Freihandelsabkommen mit dem Mercosur zu ratifizieren, so droht eine Standardsetzung insbesondere im Umwelt-, Arbeits- und Sozialbereich, die nicht den europäischen Interessen entspricht. Gleichzeitig würden EU-Produkte und -Dienstleistungen auf dem lateinamerikanischen Markt ins Hintertreffen geraten.Doch auch bei diesem Thema blinkt die Ampel in allen Farben. Die Grünen wollen es nur, wenn ihre Wünsche mit Nachbesserungen erfüllt sind. Die FPD ist dafür, und dem Kanzler fehlt der Wumms, um entsprechend in Brüssel aufzutreten. Das schadet dem Wirtschaftsstandort Deutschland wie auch den bilateralen Beziehungen zu den Mercosur-Staaten.“"
https://www.cducsu.de/presse/pressemitteilungen/fachkraefteeinwanderungsgesetz-der-ampel-wird-unserer-volkswirtschaft-langfristig-mehr-schaden-als-nutzen,23.06.2023,Alexander Throm,Fachkräfteeinwanderungsgesetz der Ampel wird unserer Volkswirtschaft langfristig mehr schaden als nutzen,,"Der Bundestag hat heute eine Reform des Fachkräfteeinwanderungsgesetzes beschlossen. Dazu können Sie den innenpolitischen Sprecher der CDU/CSU-Bundestagsfraktion, Alexander Throm, gerne wie folgt zitieren:","„Deutschland braucht in vielen Branchen mehr Fachkräfte. Aber das Ampel-Gesetz zur Weiterentwicklung der Fachkräfteeinwanderung wird unserer Volkswirtschaft langfristig mehr schaden als nutzen. Das Ampel-Gesetz ist kein Gesetz zur Einwanderung von Fachkräften. Es ist ein Gesetz zur Einwanderung von Geringqualifizierten. Das Punktesystem, auf das die FDP so stolz ist, hat mit dem angeblichen Vorbild des kanadischen Punktesystems kaum etwas zu tun. Kanada nimmt bei seinen Bewerbern für eine Einwanderung eine Bestenauslese auf hohem Niveau vor. Das Punktesystem der Ampel stellt Anforderungen auf niedrigem Niveau. Die neue Möglichkeit einer massiven Ausweitung der Westbalkanregelung auf Länder außerhalb Europas wird ebenfalls dazu führen, dass Personen ohne ausreichende Qualifizierung nach Deutschland kommen. Denn Einreisevoraussetzung ist hierbei lediglich ein Arbeitsvertrag zum Mindestlohn, ohne jeglichen Qualifikationsnachweis.“"
https://www.cducsu.de/presse/pressemitteilungen/sozialwahlen-sind-eine-blaupause-fuer-zukuenftige-online-wahlen,23.06.2023,"Stephan Stracke, Marc Biadacz",Sozialwahlen sind eine Blaupause für zukünftige Online-Wahlen,Die Sozialwahlen müssen für eine Generalüberholung in die Werkstatt,"Bis zum 31. Mai fanden die Sozialwahlen statt, bei denen die Vertreterinnen und Vertreter für die Selbstverwaltungsorganen der gesetzlichen Sozialversicherungsträger gewählt werden konnten. Zu den Ergebnissen der Wahl erklären Stephan Stracke, Sprecher für Arbeit und Soziales der CDU/CSU-Bundestagsfraktion sowie Marc Biadacz, Obmann für Arbeit und Soziales:","Stephan Stracke: „CDU/CSU haben dafür gesorgt, dass bei dieser Sozialwahl zum ersten Mal in der Geschichte der Bundesrepublik per PC gewählt werden konnte. Diese erfolgreiche erste Online-Wahl ist ein historischer Schritt. Der Erfolg zeigt, dass die digitale Abstimmung zukünftig der Regelfall bei der Sozialwahl werden muss.Die insgesamt geringe Wahlbeteiligung zeigt aber auch: Aufwand und Ertrag der Sozialwahl stehen in keinem Verhältnis. Ein ‚Weiter so‘ kann es deshalb nicht geben. Wir müssen jetzt grundlegend und ergebnisoffen über die Soziale Selbstverwaltung diskutieren.“Marc Biadacz: „Zum ersten Mal konnten wir in Deutschland endlich auch online bei Wahlen abstimmen. Das ist ein großer Meilenstein für die Sozialwahlen und darauf kann man aufbauen. Dennoch dürfen diese Wahlen nicht darüber hinwegtäuschen, dass die Wahlbeteiligung erneut auf einem Tiefstand war. Es gelingt uns nicht, die Wichtigkeit der Sozialwahlen zu kommunizieren, weil die Kandidaten und Programme unbekannt sind und dadurch die Meinungsbildung schwer möglich ist. Hier muss es ein Umdenken geben, um in Zukunft besser herauszustellen, welchen Unterschied die Wählerstimme macht.“"
https://www.cducsu.de/presse/pressemitteilungen/stadtwerke-sind-unverzichtbar,23.06.2023,Dr. André Berghegger,Stadtwerke sind unverzichtbar,Kommunale Unternehmen halten Deutschland am Laufen – Dafür ganz herzlichen Dank!,Am heutigen Freitag findet wie in jedem Jahr am 23. Juni der Tag der Daseinsvorsorge statt. Dazu erklärt der Vorsitzende der Arbeitsgemeinschaft Kommunalpolitik der CDU/CSU-Fraktion im Deutschen Bundestag André Berghegger:,"„Leistungen der öffentlichen Infrastruktur werden Tag für Tag selbstverständlich in Anspruch genommen. Sei es die Wasserversorgung und Abwasserentsorgung, die Stromversorgung, die Abfallentsorgung, die Bereitstellung schnellen Internets, die Stadtreinigung oder der ÖPNV: Die Bedeutung der Leistung wird immer dann registriert, wenn sie einmal nicht verfügbar ist. Zum Glück sind Störungen in der öffentlichen Infrastruktur bei uns sehr selten.Unser ausdrücklicher Dank gilt den weit über 293.000 Mitarbeiterinnen und Mitarbeitern von kommunalen Unternehmen, die sich jeden Tag mit Leidenschaft und Expertise für die Menschen vor Ort einsetzen. Sie sichern die Lebensqualität und halten Deutschland am Laufen. Ihre Leistungen stehen am 23. Juni im Mittelpunkt. Es ist gut, dass der Verband kommunaler Unternehmen (VKU) den Tag der Daseinsvorsorge seit dem Jahr 2017 am Internationalen Tag der öffentlichen Dienste der Vereinten Nationen begeht und damit die Leistungen kommunaler Unternehmen an einem Tag im Jahr in die öffentliche Wahrnehmung rückt.Um die Zuverlässigkeit unserer öffentlichen Infrastruktur zu erhalten, darf sie nicht überfordert werden. Energiebeschaffung und -versorgung in Krisenzeiten, Transformation der Energieversorgung dazu die Wärmeplanung und die Verantwortung für die Umsetzung der Energiepreisbremsen, – jeder Punkt allein ist eine Mammutaufgabe und alle zusammen kaum zu stemmen. Unsere Stadtwerke brauchen ein Belastungsmoratorium, um ihre wichtige Aufgabe erfüllen zu können.“Hintergrund:Der Tag der Daseinsvorsorge findet jedes Jahr am 23. Juni statt. Deutschlandweit zeigen kommunale Unternehmen an diesem Tag ihre Leistungen der Daseinsvorsorge – von Energie- und Wasserversorgung über Abwasser- und Abfallentsorgung bis hin zum Ausbau von Glasfaser. International wird der Tag von den Vereinten Nationen als „Public Service Day“ ausgerufen. Der Tag der Daseinsvorsorge in Deutschland wird vom Verband kommunaler Unternehmen (VKU) koordiniert. Alle Aktionen werden auf der Themenseite daseinsvorsorge.vku.de gebündelt."
https://www.cducsu.de/presse/pressemitteilungen/bundesregierung-saniert-haushalt-zulasten-laendlicher-raeume,22.06.2023,Dr. André Berghegger,Bundesregierung saniert Haushalt zulasten ländlicher Räume,"Kürzung von Fördermitteln bei GAK, GRW und Städtebauförderung setzt falsche Prioritäten","Der Deutsche Bundestag debattiert am heutigen Donnerstag in einer Aktuellen Stunde zu befürchteten Kürzungen bei GRW, GAK und Städtebauförderung durch den Bundesfinanzminister. Dazu erklärt der Vorsitzende der AG Kommunalpolitik der CDU/CSU-Bundestagsfraktion André Berghegger:","„Die Bundesregierung setzt mit den Plänen, wichtige kommunal relevante Fördermittel wie GRW, GAK und Städtebauförderung zu kürzen, eindeutig die falschen Prioritäten. Mit dem bislang unwidersprochenen Ansatz des Bundesfinanzministers versucht die Ampelregierung den Bundeshaushalt zulasten ländlicher Räume zu sanieren. Die Kürzung der Städtebauförderung sowie der Mittel der Gemeinschaftsaufgaben Verbesserung der Agrarstruktur und des Küstenschutzes (GAK) und Verbesserung der regionalen Wirtschaftsstruktur (GRW) werden insbesondere dünner besiedelte ländliche Räume treffen. Dort ist der Bedarf an entsprechender Strukturhilfe größer als in städtischen Ballungszentren.Die Strukturhilfen und die Mittel der Städtebauförderung sind wichtige finanzielle Grundlagen zur Schaffung gleichwertiger Lebensverhältnisse. Wieder einmal verabschiedet sich die Bundesregierung von diesem Leitgedanken des politischen Handelns und setzt den Urbanisierungsdruck unbeirrt fort. Wenn aber immer mehr Menschen in städtische Ballungszentren ziehen, wird das am Ende mehr Kosten als jetzt kurzfristig bei Struktur-Förderprogrammen eingespart werden kann.“"
https://www.cducsu.de/presse/pressemitteilungen/verbot-von-pflanzenschutzmitteln-bedroht-weinbau,22.06.2023,"Albert Stegemann, Artur Auernhammer",Verbot von Pflanzenschutzmitteln bedroht Weinbau ,Deutsche Winzer in Existenznöten - Ernteverluste zu befürchten,"Der Deutsche Bundestag berät am heutigen Abend erstmals über einen CDU/CSU-Antrag zum Fortbestand des Deutschen Weinbaus. Dazu erklären der agrarpolitische Sprecher der CDU/CSU-Bundestagsfraktion, Albert Stegemann, sowie der zuständige Berichterstatter Artur Auernhammer:","Stegemann: „Pauschale Verbote des Einsatzes von Pflanzenschutzmitteln, wie sie die EU-Kommission in ihrer Initiative ‚Sustainable Use Regulation (SUR)‘ vorsieht, bedrohen unsere Winzerfamilien in ihrer beruflichen Existenz. Denn viele Weinberge in Deutschland liegen in Wasserschutz- und Vogelschutzzonen, also genau dort, wo die pauschalen Verbote gelten sollen. Erhebliche Ernteverluste durch Schädlingsbefall wären die Folge. Deshalb muss sich Cem Özdemir in den Verhandlungen auf EU-Ebene deutlich gegen ein Totalverbot von zugelassenen Pflanzenschutzmitteln einsetzen. Zusätzliche Dokumentationspflichten für die Winzer gilt es außerdem zu verhindern.“Auernhammer: „In Bezug auf die SUR-Verhandlungen fordern wir von der Bundesregierung und vor allem von Bundeslandwirtschaftsminister Özdemir endlich klare Worte. Die deutschen Winzerinnen und Winzer brauchen Planungssicherheit. Wenn Özdemir der Branche die Zukunftsangst nehmen will, sollte er ihr die verdiente Rückendeckung geben.“"
https://www.cducsu.de/presse/pressemitteilungen/die-freiheit-der-religionsausuebung-wird-immer-mehr-staaten-brutal-unterdrueckt,22.06.2023,Thomas Rachel,Die Freiheit der Religionsausübung wird in immer mehr Staaten brutal unterdrückt,,"Das Hilfswerk „Kirche in Not“ hat heute die Studie „Religionsfreiheit weltweit 2023“ vorgestellt, in der rund 200 Länder hinsichtlich Menschenrechte und Religionsfreiheit analysiert werden. Zu der Studie können Sie den Fachsprecher der CDU/CSU-Bundestagsfraktion für Kirchen und Religionsgemeinschaften, Thomas Rachel, gerne wie folgt zitieren:","„Die Freiheit der Religionsausübung ist ein absolutes Grundrecht. Heute erleben wir, dass diese Freiheit in immer mehr Staaten brutal unterdrückt wird. Millionen von Christinnen und Christen, aber auch Menschen anderer Religionen, werden wegen ihres Glaubens diskriminiert, verfolgt oder sogar ermordet. Dazu können wir nicht schweigen.“"
