headline,title,subtitle,date,meta,text,url
Planungsbeschleunigung,Schneller Bauen durch digitalisierte Verfahren,  Der Bundestag hat am Donnerstag den von der Bundesregierung vorgelegten Gesetzentwurf zur Stärkung der Digitalisierung im Bauleitplanverfahren gebilligt.,16.06.2023,,"Das Vorhaben ist Teil des Maßnahmenpakets zur Planungs- und Genehmigungsbeschleunigung. Ziel ist es, das Beteiligungsverfahren zur Aufstellung von Bauleitplänen zu modernisieren und zu beschleunigen. So soll künftig das digitale Beteiligungsverfahren als Regelverfahren für die Öffentlichkeitsbeteiligung sowie für die Beteiligung der Behörden gelten. Vorgesehen ist außerdem, dass in bestimmten Fällen eine erneute Veröffentlichung und Einholung von Stellungnahmen bei Planänderungen oder -ergänzungen unterbleiben kann.

Bei erneuter Beteiligung soll im Hinblick auf mögliche Auswirkungen von Planänderungen oder -ergänzungen Gelegenheit zur Stellungnahme gegeben werden. Die Kommunen sollen in diesem Fall die Dauer der Veröffentlichungsfrist im Internet und die Frist zur Stellungnahme angemessen verkürzen. Werden die Grundzüge der Planung nicht berührt, sollen die Städte und Gemeinden künftig nur noch die von einer Änderung oder Ergänzung betroffenen Teile der Öffentlichkeit und berührte Behörden und sonstige Träger öffentlicher Belange beteiligen – es sei denn, diese Beschränkung führt nach Einschätzung der Kommune zu einer längeren Verfahrensdauer. Die bisherigen „Kann-Regelungen“ sollen damit in „Soll-Re-gelungen“ geändert werden. Die Bauleitplanverfahren sollen auch dadurch beschleunigt werden, dass die Fristen zur Genehmigung bestimmter Bauleitpläne von drei Monaten auf einen Monat verkürzt werden.

Im Katastrophenfall können die Länder Wiederaufbaugebiete definieren, in denen bestimmte Ausnahmen vom Baugesetzbuch und den auf Grund des Baugesetzbuchs erlassenen Vorschriften gelten. So sollen die Resilienz von Siedlungen erhöht und die Auswirkungen der Katastrophe auf die Bausubstanz möglichst schnell bewältigt werden. Anlass der Regelung ist das Hochwasser im Ahrtal, das zu verheerenden Zerstörungen ganzer Orte und Straßenzüge geführt hat. Die Vorschrift beschränkt sich aber nicht auf Hochwasserkatastrophen, sondern umfasst alle denkbaren Katastrophenfälle wie insbesondere Natur- und Umweltkatastrophen. Es wird erwartet, dass diese aufgrund des Klimawandels häufiger und deren Auswirkungen gravierender werden.

Eine weitere notwendige Veränderung betrifft die Unterbringung von Geflüchteten, die die Kommunen vor große Herausforderungen stellt. Die Zahl der in Deutschland Schutzsuchenden ist durch den Angriff Russlands auf die Ukraine nochmals stark angestiegen. Darauf haben wir bereits im Jahr 2021 reagiert und die 2015/2016 erlassenen Sonderregelungen für die bauplanungsrechtliche Zulässigkeit von Flüchtlingsunterunterkünften reaktiviert, befristet bis 31. Dezember 2024. Um die Kommunen auch zukünftig zu entlasten, soll die Bereitstellung der Unterkünfte für einen längeren Zeitraum erleichtert möglich sein. Daher werden die Sonderregeln um weitere drei Jahre bis zum 31. Dezember 2027 verlängert.",https://www.spdfraktion.de/themen/schneller-bauen-digitalisierte-verfahren
Kultur,70 Jahre Volksaufstand in der DDR,  Der Volksaufstand am 17. Juni 1953 war bis 1989 das bedeutendste Ereignis in der Oppositions- und Widerstandsgeschichte der DDR. Anlässlich des 70. Jahrestages haben die Ampelfraktionen einen Antrag in den Bundestag eingebracht.,16.06.2023,,"Der 1952 von der SED begonnene „planmäßige Aufbau des Sozialismus“ führte zu wirtschaftlichen und sozialen Verwerfungen, Versorgungsengpässen und wachsender Unzufriedenheit und schließlich im Juni 1953 zu landesweiten Streiks und Protesten. Diese gipfelten am 17. Juni 1953 in einem Volksaufstand, an dem eine Millionen Menschen aktiv teilnahmen.

Dieser Aufstand symbolisierte den langjährigen Kampf vieler DDR-Bürger:innen für Freiheit, Demokratie und gegen Diktatur. Das SED-Regime schlug ihn mit Hilfe von sowjetischen Streitkräften brutal nieder. Es gab zahlreiche Tote, eine Repressionswelle folgte.

Die Koalitionsfraktionen haben anlässlich des 70. Jahrestages des Volksaufstandes einen Antrag eingebracht, der vom Deutschen Bundestag in dieser Woche beschlossen wurde. In diesem wird die Arbeit der Bundesstiftung zur Aufarbeitung der SED-Diktatur ebenso gewürdigt wie die Arbeit der „Bundesbeauftragten für die Unterlagen des Staatssicherheitsdienstes der ehemaligen Deutschen Demokratischen Republik“ und der Opferverbände.

Darüber hinaus wird die Bundesregierung aufgefordert, den Härtefallfonds für SED-Opfer zeitnah einzurichten, die Aufarbeitung der kommunistischen Diktatur und der Geschichte von Sowjetischer Besatzungszone (SBZ) und DDR zu stärken und sich für die Umsetzung des Denkmals zur Mahnung und Erinnerung an die Opfer der kommunistischen Herrschaft einzusetzen. Die ehemalige Stasi-Zentrale in Berlin-Lichtenberg solle zu einem Campus für Demokratie entwickelt werden und die Transformation des Stasi-Unterlagen-Archivs in das Bundesarchiv weiter unterstützt werden.",https://www.spdfraktion.de/themen/70-jahre-volksaufstand-ddr
Arbeit,Europäische Kraftfahrer:innen besser schützen,"  Das Entsenderecht kann künftig auch im Straßenverkehrssektor angewendet werden. Der Bundestag hat einen Gesetzentwurf der Bundesregierung verabschiedet, mit dem die entsprechende EU-Richtlinie in deutsches Recht umgesetzt wird.",16.06.2023,,"Wer in der EU als LKW-Fahrer:in angestellt ist und beruflich durch Deutschland fährt, hat bestimmte Rechte. Es gibt Regeln für Höchstarbeitszeiten und Mindestruhezeiten. Außerdem müssen entsandte Fahrer:innen während ihrer Arbeitszeit hierzulande den Mindestlohn erhalten.

In der Praxis werden Kraftfahrer:innen aber allzu oft ausgebeutet und um ihre Rechte gebracht, wie jüngst das Beispiel der streikenden LKW-Fahrer:innen auf der hessischen Raststätte Gräfenhausen gezeigt hat. Die EU hat die Straßenverkehrsrichtlinie auf den Weg gebracht, um die Rechte von entsandten Kraftfahrer:innen besser durchzusetzen.

Die Richtlinie wird nun in Deutschland umgesetzt. Das heißt konkret: Arbeitgeber, die in der EU ansässig sind, müssen sich künftig über ein digitales System registrieren. Außerdem müssen sie ihren Fahrer:innen bestimmte Unterlagen zur Verfügung stellen, die der Zoll kontrollieren kann, beispielsweise Gehaltsnachweise, Arbeitsverträge und Aufzeichnungen des Fahrtenschreibers. Verstoßen die Unternehmen dagegen, können sie mit einem Bußgeld belegt werden. Bei der Vollstreckung von Strafen wollen die Mitgliedstaaten der EU künftig besser zusammenarbeiten. Ziel ist es, Ausbeutung und Missbrauch im grenzüberschreitenden Straßenverkehr in der EU zu verhindern.",https://www.spdfraktion.de/themen/europaeische-kraftfahrerinnen-besser-schuetzen
Tierschutz,Umbau in der Nutztierhaltung kann beginnen,"  Mit der verpflichtenden Tierhaltungskennzeichnung kommen wir den gesellschaftlichen Erwartungen nach mehr Tierschutz nach und gestalten die landwirtschaftliche Tierhaltung zukunftsfest. Verbraucher:innen können zukünftig erkennen, wie ein Tier gehalten wurde und diese Information bei ihren Kaufentscheidungen berücksichtigen.",16.06.2023,,"Mit dem Tierhaltungskennzeichnungsgesetz führt die Ampelregierung erstmals ein staatliches Label für Lebensmittel tierischen Ursprungs ein. Damit setzen wir neue Standards in Sachen Transparenz, machen die Leistung unserer Landwirt:innen sichtbar und verbessern die Haltungsbedingungen für Nutztiere.

Lebensmittel erhalten eine einheitliche Kennzeichnung, welche die Haltungsform der Tiere angibt, zunächst für frisches Schweinefleisch. Es gibt fünf Haltungsformen: Stall, Stall+Platz, Frischluftstall, Auslauf/Weide, Bio. Diese unterscheiden sich dadurch, wie viel Platz die Tiere in der Haltung haben, ob Frischluft und Zugang zu einem Außenbereich und Beschäftigungsmaterial für die Tiere gegeben sind. Damit entsprechen wir den berechtigten Anliegen der Gesellschaft, bei unseren Nutztieren für mehr Luft, Licht und Bewegung zu sorgen.

Noch in diesem Jahr wird das Tierhaltungskennzeichnungsgesetz um verarbeitete Produkte wie Wurst sowie Außer-Haus-Verpflegung und Gastronomie erweitert. Der SPD-Bundestagsfraktion war es ein wichtiges Anliegen, im nächsten Schritt auch den kompletten Lebenszyklus der Schweine – allen voran Ferkel und Sauen – in den Geltungsbereich des Gesetzes aufzunehmen. Weitere Tierarten wie Milchkühe, Mastbullen und Geflügel folgen ab dem kommenden Jahr. Zudem wird parallel an besseren Regeln im Tierschutzrecht gearbeitet.

Zusammen mit den ebenfalls beschlossenen baurechtlichen Erleichterungen für den Umbau hin zu tiergerechteren Ställen im Baugesetzbuch und der Verständigung von Bund und Ländern zum reibungslosen Zusammenspiel von Tierhaltung und Reinhaltung der Luft schaffen wir Planungssicherheit für alle tierhaltenden Betriebe, die einen Um- oder gar Neubau planen.

Wir haben dafür gesorgt, dass für den Start des Umbaus der Nutztierhaltung eine Milliarde Euro zur Verfügung stehen. Durch ein Förderprogramm werden sowohl Um- und Neubau als auch die laufenden Mehrkosten bei aufwändigeren Haltungsformen unterstützt. Jetzt kommt es darauf an, eine verlässliche Finanzierung zu sichern. Von zentraler Bedeutung ist auch eine Einigung bei der Finanzierung, damit langfristige Verträge zwischen Staat und Landwirten geschlossen werden können.

Da eine staatliche Kennzeichnung bei den Konsument:innen hohes Vertrauen genießt, wird dessen Einführung einen großen Einfluss auf die Kaufentscheidung und damit auf die Zukunft der tierhaltenden Betriebe in Deutschland haben. Mit dem Tierhaltungskennzeichnungsgesetz und den weiteren Maßnahmen, geben wir den Landwirt:innen die dringend erwartete Perspektive, um Mensch, Tier, Umwelt und den damit verbundenen gesellschaftlichen Erwartungen gerecht werden zu können.",https://www.spdfraktion.de/themen/umbau-nutztierhaltung-beginnen
Podcast,"Was ist jetzt mit meiner Heizung, Matthias?","  Matthias Miersch über die neusten Beschlüsse beim Heizungsgesetz, das Wortungetüm kommunale Wärmeplanung und ihre immense Bedeutung für den Umstieg auf klimaneutrales Heizen.",15.06.2023,,"Die SPD-Fraktion gibt es mittlerweile auch zum Hören: Im Oktober 2020 haben wir unseren eigenen Podcast gestartet! Die „Lage der Fraktion“ ist die sozialdemokratische Plauderrunde zur Bundespolitik: Was haben wir vor? Was bringen wir voran? Und wo hakt es vielleicht auch noch? (Versprochen: Wenn irgendwo Interna ausgequatscht werden, dann hier!)

Folge 41: Was ist jetzt mit meiner Heizung, Matthias?

Matthias Miersch ist Fraktionsvize und der Experte für Klimaschutz und Wärmewende. Er erklärt, was die neuen Ampel-Beschlüsse beim Heizungsgesetz für Euch bedeuten und warum eine neue Gasheizung keine gute Idee ist. Darüber reden wir im aktuellen Podcast mit Matthias Miersch.

Wo findet man den Podcast?

Fast überall, wo es Podcasts gibt: Spotify, iTunes, Google Podcasts, Deezer oder hier im RSS-Feed. Am besten gleich abonnieren - und keine Folge verpassen.

Matthias Miersch …

...zu Gasheizungen:

„Wer sich heute im Neukauf für eine fossile Heizung entscheidet, der muss davon ausgehen, dass der Betrieb dieser Heizung richtig teuer werden kann.“ [ab Minute 09:38]

...zur kommunalen Wärmeplanung:

„Wir haben uns in der Ampel darauf verpflichtet, dass diese kommunale Wärmeplanung für alle Kommunen in Deutschland gilt.“ [ab Minute 06:10]

...zu Wasserstoff:

„Es gehört zur Ehrlichkeit dazu, es gibt unterschiedliche Denkschulen, was das Thema Wasserstoff angeht. Es gibt eine Seite, die sagt ‚Wasserstoff ist Wasserstoff der Zukunft und damit können wir die gesamte ganze Infrastruktur umstellen‘. Ich bin da sehr, sehr zurückhaltend, weil ich glaube, dass wir Wasserstoff sehr viel für die Industrie brauchen.“ [ab Minute 13:27]

...zu den Verhandlungen in der Ampel:

„Wir standen jetzt nicht am Abgrund, aber es waren teilweise sehr, sehr harte Verhandlungen, wo man merkt, es gibt eben völlig unterschiedliche Herangehensweisen, wie ich bestimmte Probleme löse.“ [ab Minute 29:59]

„Bei der CDU/CSU hatte ich auch ganz lange Verhandlungen. Da ist auch keiner rausgegangen. Aber wir haben dann irgendwann erkennen müssen, wir kommen letztlich nicht zu einer gemeinsamen Lösung. Und dieses Momentum hatte ich noch nie in der Ampel.“ [ab Minute 29:59]",https://www.spdfraktion.de/themen/meiner-heizung-matthias
Wärmewende muss machbar und bezahlbar sein,Klimaneutrales Heizen für alle möglich machen,"  Das Heizungsgesetz geht in die parlamentarischen Beratungen – und soll noch deutlich verbessert werden. Die Ampelfraktionen haben sich dafür jetzt auf Leitplanken geeinigt, die eine breite Förderung und die enge Verzahnung mit der Wärmeplanung der Kommunen vorsehen.",14.06.2023,,"Deutschland hat sich verpflichtet, bis 2045 klimaneutral zu sein. Damit uns das gelingt, setzen wir voll auf erneuerbare Energien. Ein besonderer Fokus liegt auf dem Gebäudesektor, in dem ein Großteil der Treibhausgasemissionen entsteht, weil dort sehr viel mit fossilen Energieträgern geheizt wird.

Paradigmenwechsel eingeleitet

Die Reform des Gebäudeenergiegesetzes (GEG) soll den Weg für mehr klimaneutrale Heizungen frei machen. Die ursprünglichen Pläne der Bundesregierung sahen vor, dass schon ab 2024 jede Heizung, die neu installiert wird, mit mindestens 65 Prozent erneuerbarer Energie betrieben werden muss. 

In den bisherigen Gesprächen der Ampelfraktionen im Bundestag ist es uns gelungen, einen echten Paradigmenwechsel im Gebäudeenergiegesetz zu vollziehen: Künftig wird eine verpflichtende deutschlandweite kommunale Wärmeplanung das zentrale Steuerungsinstrument für die Kommunen und eine wertvolle Orientierungshilfe für die Bürger:innen in der Wärmewende sein.

Durch grundlegende Änderungen am Gesetzentwurf werden wir dafür sorgen, dass der Umstieg auf klimafreundliches Heizen in den nächsten 20 Jahren für alle möglich ist und niemand überfordert wird.

Was der SPD-Fraktion wichtig ist

Für die anstehenden parlamentarischen Beratungen haben sich die Ampelfraktionen auf folgende Leitplanken verständigt: 

Mehr Zeit für den Umstieg auf klimafreundliches Heizen in bestehenden Gebäuden durch eine enge Verzahnung mit der kommunalen Wärmeplanung: Die Vorgaben zum Einbau klimafreundlicher Heizungssysteme sollen von 2024 an zunächst vor allem in Neubaugebieten gelten. In bestehenden Gebäuden sollen die Vorgaben dagegen erst später wirksam werden - nämlich erst dann, wenn eine kommunale Wärmeplanung vorliegt. Dadurch eröffnen wir mehr Haushalten die Chance, sich in Zukunft an ein klimafreundliches Wärmenetz anschließen zu lassen. Kommunale Wärmeplanungen sollen in ganz Deutschland bis spätestens 2028 Pflicht sein.
Passgenaue Förderung in der Breite der Gesellschaft: Die Förderung soll möglichst passgenau die einzelnen Bedürfnislagen und soziale Härten bis in die Mitte der Gesellschaft berücksichtigen. Wir wollen niemanden zu etwas verpflichten, das in der jeweiligen Lebenslage nicht leistbar ist. Finanziert wird die Unterstützung aus dem Klima- und Transformationsfonds. 
Offenheit für verschiedene Technologien: Beim Umstieg auf klimaneutrale Heizungssysteme werden alle Optionen gleichwertig behandelt. Keine klimafreundliche Wärmetechnologie darf von vornherein ausgeschlossen werden, Hauptsache sie ist mindestens 65 Prozent erneuerbar. Dazu gehören auch nachhaltigen Lösungen für das Heizen mit Holz und Pellets.
Wir wollen Mieter:innen schützen, damit sie nicht über Gebühr belastet werden. Vermieter:innen sollen Anreize haben, in moderne Heizungssysteme zu investieren.
Klimafreundliche Heizungen rechnen sich

Der Umstieg auf klimafreundliches Heizen sorgt nicht nur für mehr Klimaschutz, sondern schützt auch vor hohen finanziellen Belastungen.

Denn: Wer heute eine neue Heizung einbaut, nutzt diese 20 bis 30 Jahre lang. Da die Preise für Gas und Öl in den kommenden Jahren auch aufgrund des CO2-Preises weiter steigen werden, wird fossiles Heizen für viele Menschen deutlich teurer. Wer also schon jetzt auf eine Heizung mit erneuerbaren Energien umsteigt, macht sich unabhängig von den künftigen Preissteigerungen fossiler Brennstoffe. Durch diesen Effekt rechnet sich somit die Anschaffung einer zu Beginn teureren klimafreundlichen Heizung. Über die gesamte Lebensdauer der Heizung, zahlen sich die zunächst höheren Investitionskosten aus.",https://www.spdfraktion.de/heizungswende
Statement von Gabriela Heinrich,Nationale Sicherheitsstrategie gibt zentrale Leitplanken,  Heute hat das Kabinett die Nationale Sicherheitsstrategie beschlossen. Erstmals werden alle sicherheitsrelevanten Fragen von äußerer bis zu innerer Sicherheit in einem grundlegenden Dokument grundsätzlich und zielgerichtet gebündelt.,14.06.2023,,"„Der verbrecherische Krieg Russlands gegen die Ukraine fordert jeden Tag Menschenleben und bedroht Europas und Deutschlands Sicherheit. Wir müssen künftig unsere Sicherheitsinteressen strategischer als bisher verfolgen. Mit der Nationalen Sicherheitsstrategie ist es in einer gemeinsamen Anstrengung gelungen, zentrale Leitplanken für integrierte Sicherheit zu geben. Erstmals werden alle sicherheitsrelevanten Fragen von äußerer bis zu innerer Sicherheit in einem grundlegenden Dokument grundsätzlich und zielgerichtet gebündelt. Diese Verzahnung ist absolut notwendig und so hat es sich die Ampel bereits im Koalitionsvertrag zum Ziel gesetzt. Wenn wir Frieden, Wohlstand und eine auf Regeln basierende internationale Ordnung bewahren wollen, müssen wir auch für extreme Szenarien gerüstet sein.

Sicherheit bedeutet keine Gegnerschaft gegenüber anderen, sondern Zusammenarbeit mit anderen Ländern auf Basis unserer Werte und Interessen. Wir bekennen uns dazu, dass globale Gerechtigkeit ein integraler Bestandteil von Frieden und Sicherheit ist und werden die weitere Konkretisierung der Strategie konstruktiv-kritisch begleiten.“",https://www.spdfraktion.de/presse/statements/nationale-sicherheitsstrategie-gibt-zentrale-leitplanken
Statement von Bernhard Daldrup,Absolut positiver Trend,"  Heute hat das Statistische Bundesamt Zahlen zum Anstieg der Erneuerbaren Energien in Neubauten veröffentlich. Der Neubau in Deutschland sei konsequent auf dem Weg zur Klimaneutralität, sagt Bernhard Daldrup.",12.06.2023,,"„Die Zahlen deuten auf einen absolut positiven Trend hin. Der Neubau in Deutschland ist konsequent auf dem Weg zur Klimaneutralität. Es ist sehr erfreulich, dass der Anteil erneuerbarer Energien kontinuierlich ansteigt. Das zeigt, dass Hausbesitzerinnen und Hausbesitzer große Bereitschaft haben, die Wärmewende mitzutragen. Zusätzlich werden wir mit dem neuen Heizungsgesetz, sozial verträglich und pragmatisch ausgestaltet, dafür sorgen, dass Gebäude energetisch den klimaneutralen Pfad beschreiten.“",https://www.spdfraktion.de/presse/statements/absolut-positiver-trend
Statement von Dirk Wiese,Asylkompromiss ist ein wichtiger Schritt,"  Nach jahrelangem Ringen haben sich die EU-Innenminister auf einen Kompromiss in der Asylpolitik verständigt. Dieser Durchbruch ist auch der klaren Haltung der Bundesregierung zu verdanken, die sich insbesondere für eine humanitäre Ausgestaltung stark gemacht hat. Nicht alle Punkte konnten durchgesetzt werden, aber nach der Einigung auf Ministerebene stehen die Verhandlungen auch im Europaparlament erst noch an, sagt Dirk Wiese.",09.06.2023,,"„Gestern haben wir Europäer nach jahrelangen Blockaden in einer sehr sensiblen Frage eine Einigung erzielt. Die Innenminister der EU-Mitgliedstaaten haben sich auf eine deutliche Verbesserung des Gemeinsamen Europäischen Asylsystems verständigen können. Dazu war es höchste Zeit: Das Fluchtgeschehen der letzten Jahre hat die Grenzen des bestehenden Asylsystems überaus deutlich gemacht und ein faires und funktionierendes Migrationsmanagement schon lange nicht mehr gewährleistet. Es war überfällig, die Migration besser und effektiver zu steuern und zu ordnen. Es ging um nicht weniger als die Zukunft Europas. Mit dem gefundenen Kompromiss wird beides sichergestellt: offene Binnengrenzen und ein menschenrechtsbasiertes Asylsystem.

Denn am Recht auf Asyl wird nicht gerüttelt. Mit der Kontrolle und Registrierung aller Ankommenden an den EU-Außengrenzen, der Beschleunigung der Asylprüfung für diejenigen, die nur eine sehr geringe Aussicht auf Schutz haben, sowie einem verbindlichen und gerechten Verteilungsschlüssel innerhalb der EU wurden maßgebliche Instrumente beschlossen, um Ordnung und Fairness in den Verfahren herzustellen. So schützen wir auch die besser, die wirklich des Schutzes bedürfen.

Ein großer Dank an Bundesinnenministerin Nancy Faeser, die durchsetzen konnte, dass unbegleitete Kinder und Jugendliche direkt in die EU einreisen können und nicht in die Grenzverfahren kommen. Wir werden in den anstehenden Verhandlungen mit dem EU-Parlament dafür kämpfen, dass dies auf alle Kinder und Jugendlichen ausgedehnt wird, auch wenn sie mit ihren Eltern kommen.“",https://www.spdfraktion.de/presse/statements/asylkompromiss-wichtiger-schritt
Statement von Dirk Wiese,Wir verkleinern den Bundestag,"  Mit der Unterschrift durch Bundespräsident Frank-Walter Steinmeier bekommt die Wahlrechtsreform Gesetzeskraft. Damit verkleinern wir wirksam den Bundestag auf die feste Größe von 630 Abgeordneten. Eine jahrelange parteipolitische Blockade von Seiten von CDU/CSU hat damit ein Ende. Die Ampel macht den Weg frei, sagt Dirk Wiese.",08.06.2023,,"„Mit der Verkleinerung des Deutschen Bundestages entsprechen wir dem deutlichen Wunsch der Bürgerinnen und Bürger in unserem Land. Die Wahlrechtsreform reduziert die Zahl der Bundestagsabgeordneten ab der nächsten Wahl um mehr als 100 effektiv auf die festgesetzte Zahl 630. Die heutige Unterschrift des Bundespräsidenten unter die Reform des Wahlrechts beendet die Blockade der Union mit zahlreichen Querschüssen durch die CSU, die über Jahre nur ihren eigenen Vorteil im Blick hatte. Eine gerechte Lösung für alle war so nicht zu erreichen. Damit ist jetzt endgültig Schluss.

Die Ampel-Koalition zeigt hier die Kraft zum Fortschritt und die Einigkeit, die politischen Verkrustungen aufzubrechen: Wir verkleinern den Bundestag – effektiv, transparent und rechtssicher. Denn unsere Demokratie lebt vom Vertrauen der Menschen in ein faires Wahlrecht, in dem jede Stimme gleich viel wert ist und das alle Parteien gleichermaßen betrifft. Ich bin sehr froh, dass wir nach zehnjähriger Diskussion nun zu diesem erfolgreichen Abschluss gekommen sind.“",https://www.spdfraktion.de/presse/statements/wir-verkleinern-bundestag
