title,fulltext,prompt,authors_1,authors_2,authors_3,authors_4,authors_5,authors_6,authors_7,authors_8,meta_1,meta_2,meta_3,meta_4,meta_5,meta_6,meta_7,meta_8,url
Ein Fest für Vielfalt und Miteinander – die Special Olympics World Games in Berlin ,"Morgen starten die Special Olympics World Games in Berlin. 7.000 Athletinnen und Athleten mit geistiger oder mehrfacher Behinderung aus über 180 Ländern treten miteinander in 26 Sportarten an. Die Spiele sind mehr als nur ein Sport-Event. Sie können ein Meilenstein für das Thema Inklusion in Deutschland werden.

Sabine Poschmann, sportpolitische Sprecherin:
„Mit den Special Olympics World Games sendet Deutschland eine Botschaft der Vielfalt und des Miteinanders. Uns erwartet ein Fest in riesiger Dimension: Seit den Olympischen Spielen 1972 fand keine größere Multi-Sport-Veranstaltung in Deutschland statt. Mit über 200 Host-Towns wird die Botschaft der Spiele über Berlin hinaus in die gesamte Bevölkerung getragen. Der Bund unterstützt das Turnier mit fast 50 Millionen Euro und zeigt damit den hohen Stellenwert, den der inklusive Sport für unsere Gesellschaft hat. Wir danken den über 18.000 Volunteers für ihr freiwilliges Engagement, ohne das die Spiele gar nicht möglich wären. Allen Athletinnen und Athleten wünschen wir viel Spaß, unvergessliche Erlebnisse und viel Erfolg bei den Wettkämpfen.“

Jasmina Hostert, zuständige Berichterstatterin:
„Diese World Games sind nicht nur ein olympisches Fest, sondern auch ein Fest der Inklusion. Schon das Host-Town-Konzept hat gezeigt, wie gelebte Inklusion aussehen kann. Die Spiele bieten die einzigartige Möglichkeit, das Thema nachhaltig voranzubringen. Sie können der Startpunkt zu sein, die Teilhabe von Menschen mit geistiger Behinderung stärker in das gesellschaftliche Bewusstsein zu rücken.“",Morgen starten die Special Olympics World Games in Berlin. 7.000 Athletinnen und Athleten mit geistiger oder mehrfacher Behinderung aus über 180 Ländern treten miteinander in 26 Sportarten an. Die Spiele sind mehr als nur ein Sport-Event. Sie können ein Meilenstein für das Thema Inklusion in Deutschland werden.,Sabine Poschmann,", sportpolitische Sprecherin:",Jasmina Hostert,", zuständige Berichterstatterin:",NA,NA,NA,NA,16.06.2023,20. Wahlperiode,110,Sport,"Sabine Poschmann, Jasmina Hostert",Sport,PDF,NA,https://www.spdfraktion.de/presse/pressemitteilungen/fest-vielfalt-miteinander-special-olympics-world-games-berlin
Tierhaltungskennzeichnung  kommt,"Mit dem heute im Bundestag beschlossenen Gesetz zur Tierhaltungskennzeichnung kommen wir den gesellschaftlichen Erwartungen nach mehr Tierschutz nach und gestalten die landwirtschaftliche Tierhaltung zukunftsfest. Verbraucherinnen und Verbraucher können zukünftig erkennen, wie ein Tier gehalten wurde und diese Information bei ihren Kaufentscheidungen berücksichtigen.

Matthias Miersch, stellvertretender Fraktionsvorsitzender:

„Mit dem Gesetz bringen wir heute etwas auf den Weg, dass es so noch nicht gab. Die Ampelregierung führt eine staatliche Kennzeichnung für Lebensmittel tierischen Ursprungs ein. Für uns waren die Empfehlungen der Borchert-Kommission als breiter gesellschaftlicher Konsens ein Leitstern in den Verhandlungen. Wir setzen neue Standards in Sachen Transparenz, machen die Leistung unserer Landwirt:innen sichtbar und verbessern die Haltungsbedingungen für Nutztiere. Wir haben auch dafür gesorgt, dass für den Start des Umbaus der Nutztierhaltung eine Milliarde Euro in einem Förderprogramm zur Verfügung stehen. Von zentraler Bedeutung ist auch eine Einigung bei der Finanzierung, damit langfristige Verträge zwischen Staat und Landwirt:innen geschlossen werden können.“

Susanne Mittag, zuständige Berichterstatterin:

„Die heutige Verabschiedung der Tierhaltungskennzeichnung ist ein wichtiger Schritt, dem weitere Schritte folgen müssen. Dazu müssen die Einbeziehung der Ferkel und Sauen und die Berücksichtigung weiterer Tierarten gehören. Da eine staatliche Kennzeichnung bei den Konsument:innen hohes Vertrauen genießt, wird die Einführung einen großen Einfluss auf die Kaufentscheidung und damit auf die Zukunft der tierhaltenden Betriebe in Deutschland haben. Zusammen mit den ebenfalls beschlossenen baurechtlichen Erleichterungen für den Umbau hin zu tiergerechteren Ställen im Baugesetzbuch und der Verständigung von Bund und Ländern zum reibungslosen Zusammenspiel von Tierhaltung und Reinhaltung der Luft schaffen wir Planungssicherheit für alle tierhaltenden Betriebe, die einen Um- oder gar Neubau planen. Das Paket ist ein großer Erfolg für alle Beteiligten.“","Mit dem heute im Bundestag beschlossenen Gesetz zur Tierhaltungskennzeichnung kommen wir den gesellschaftlichen Erwartungen nach mehr Tierschutz nach und gestalten die landwirtschaftliche Tierhaltung zukunftsfest. Verbraucherinnen und Verbraucher können zukünftig erkennen, wie ein Tier gehalten wurde und diese Information bei ihren Kaufentscheidungen berücksichtigen.",Matthias Miersch,", stellvertretender Fraktionsvorsitzender:",Susanne Mittag,", zuständige Berichterstatterin:",NA,NA,NA,NA,16.06.2023,20. Wahlperiode,109,Ernährung und Landwirtschaft,"Dr. Matthias Miersch (Stellvertretender Fraktionsvorsitzender), Susanne Mittag","Tierschutz, Landwirtschaft, Ernährung",PDF,NA,https://www.spdfraktion.de/presse/pressemitteilungen/tierhaltungskennzeichnung-kommt
Schnellere Planungs- und Genehmigungsverfahren im Baubereich,"Mit der Digitalisierung der Bauleitplanverfahren sorgen wir für eine weitere Beschleunigung der Planungs- und Genehmigungsverfahren und greifen mit drei zusätzlichen Vorhaben zugleich aktuelle Herausforderungen auf, stärken die Handlungsfähigkeit der Kommunen und sorgen für wesentliche Verbesserungen für die Menschen vor Ort.

Claudia Tausend, stellvertretende baupolitische Sprecherin:

„Mit diesem Gesetzesentwurf ist es gelungen, baurechtliche Änderungen in drei wichtigen Bereichen aufzugreifen, mit denen wir die Kommunen und die Menschen vor Ort unterstützen. Nach den Erfahrungen mit der verheerenden Flut im Ahrtal verbessern und verstetigen wir die Regelungen für den Wiederaufbau nach Katastrophen. Damit sichern wir die Handlungsfähigkeit der Akteure vor Ort und ermöglichen künftig eine schnellere und nachhaltigere Hilfe für Betroffene.

Mehr Planungssicherheit geben wir den Gemeinden zudem bei der Errichtung von Unterkünften für Geflüchtete, indem wir die Möglichkeit zur Abweichung von den geltenden Vorgaben des Bauplanungsrechts bis Dezember 2027 verlängern. Auch soziale Einrichtungen wie Schulen, Kitas oder Beratungsstellen können künftig einfacher und in den Gebieten, wo Bedarf besteht, zugelassen werden.

Wir stellen die Weichen, die Energiewende gemeinsam und entschlossen voranzubringen. Dafür geben wir den Kommunen mehr Spielräume bei der Befreiung von Bebauungsplänen, erklären Windenergie- und Solaranlagen in Gewerbe- und Industriegebieten ausdrücklich für zulässig und privilegieren den Ausbau sogenannter Agri-PV-Anlagen im Zusammenhang mit land- und forstwirtschaftlichen Betrieben.“

Isabel Cademartori, zuständige Berichterstatterin:

„Digitale Verfahren müssen von der Ausnahme zum Standard werden, in den Behörden und in der Bauwirtschaft selbst. Es ist ein wichtiges Signal, dass wir das Gesetz zur Digitalisierung im Bauleitplanverfahren auf den Weg gebracht haben. Damit werden die Fristen zur Genehmigung der Bauleitpläne kürzer, die digitale Öffentlichkeitsbeteiligung eingeführt und es gibt keine überflüssigen mehrfachen Prüfungen bei geringeren Änderungen der Pläne. Das Gesetz ist ein guter Schritt auf dem Weg zur Planungsbeschleunigung und Digitalisierung im Baubereich.”","Mit der Digitalisierung der Bauleitplanverfahren sorgen wir für eine weitere Beschleunigung der Planungs- und Genehmigungsverfahren und greifen mit drei zusätzlichen Vorhaben zugleich aktuelle Herausforderungen auf, stärken die Handlungsfähigkeit der Kommunen und sorgen für wesentliche Verbesserungen für die Menschen vor Ort.",Claudia Tausend,", stellvertretende baupolitische Sprecherin:",Isabel Cademartori,", zuständige Berichterstatterin:",NA,NA,NA,NA,15.06.2023,20. Wahlperiode,108,"Wohnen, Stadtentwicklung, Bauwesen und Kommunen","Isabel Cademartori, Claudia Tausend","Mieten und Wohnen, Bauen und Stadtentwicklung",PDF,NA,https://www.spdfraktion.de/presse/pressemitteilungen/schnellere-planungs-genehmigungsverfahren-baubereich
"""Wir standen jetzt nicht am Abgrund, aber es waren teilweise sehr harte Verhandlungen.""","In der aktuellen Folge des Podcasts ""Lage der Fraktion"" ist Matthias Miersch zu Gast, als SPD-Fraktionsvize zuständig für Klimaschutz und Energie. Er erklärt den neuen Stand beim Heizungsgesetz und berichtet von den Verhandlungen.

Hier finden Sie die aktuelle Episode: https://www.spdfraktion.de/podcast. Gerne können Sie daraus zitieren oder Audio-Ausschnitte für Ihre redaktionelle Berichterstattung verwenden. (Die ""Lage der Fraktion“ gibt es fast überall, wo es Podcasts gibt.)

Matthias Miersch...

...zu Gasheizungen:

„Wer sich heute im Neukauf für eine fossile Heizung entscheidet, der muss davon ausgehen, dass der Betrieb dieser Heizung richtig teuer werden kann.“ (ab Minute 09:38)

...zur kommunalen Wärmeplanung:

„Wir haben uns in der Ampel darauf verpflichtet, dass diese kommunale Wärmeplanung für alle Kommunen in Deutschland gilt.“ (ab Minute 06:10)

...zu Wasserstoff:

„Es gehört zur Ehrlichkeit dazu, es gibt unterschiedliche Denkschulen, was das Thema Wasserstoff angeht. Es gibt eine Seite, die sagt ‚Wasserstoff ist Wasserstoff der Zukunft und damit können wir die gesamte ganze Infrastruktur umstellen‘. Ich bin da sehr, sehr zurückhaltend, weil ich glaube, dass wir Wasserstoff sehr viel für die Industrie brauchen.“ (ab Minute 13:27)

...zu den Verhandlungen in der Ampel:

„Wir standen jetzt nicht am Abgrund, aber es waren teilweise sehr, sehr harte Verhandlungen, wo man merkt, es gibt eben völlig unterschiedliche Herangehensweisen, wie ich bestimmte Probleme löse.“ (ab Minute 29:59)

„Bei der CDU/CSU hatte ich auch ganz lange Verhandlungen. Da ist auch keiner rausgegangen. Aber wir haben dann irgendwann erkennen müssen, wir kommen letztlich nicht zu einer gemeinsamen Lösung. Und dieses Momentum hatte ich noch nie in der Ampel.“ (ab Minute 29:59)","In der aktuellen Folge des Podcasts ""Lage der Fraktion"" ist Matthias Miersch zu Gast, als SPD-Fraktionsvize zuständig für Klimaschutz und Energie. Er erklärt den neuen Stand beim Heizungsgesetz und berichtet von den Verhandlungen.",NA,NA,NA,NA,NA,NA,NA,NA,15.06.2023,20. Wahlperiode,107,Klimaschutz und Energie,Dr. Matthias Miersch (Stellvertretender Fraktionsvorsitzender),"Energie, Klimaschutz",PDF,NA,https://www.spdfraktion.de/presse/pressemitteilungen/wir-standen-nicht-abgrund-waren-teilweise-sehr-harte-verhandlungen
KI-Verordnung: EP-Beschluss als Bekenntnis zu europäischen Werten,"Der EU-Artificial Intelligence Act (AIA) ist der weltweit erste umfassende Regulierungsvorschlag zu vertrauenswürdiger KI. Heute hat das Europäische Parlament (EP) nach intensiven Debatten seine Position zum AIA beschlossen. Der Text legt einen Fokus auf die Sicherung von Grund- und Freiheitsrechten, stärkt Betroffene von KI-Entscheidungen und ebnet den Weg für Innovation.

Parsa Marvi, zuständiger Berichterstatter:

„Der Beschluss des Europäischen Parlaments zum Artificial Intelligence Act ist ein starkes Signal für unsere europäischen Werte und gegen Überwachung, soziales Scoring und weitere missbräuchliche Einsätze von KI. Wir als SPD-Bundestagsfraktion befürworten und unterstützen diese Stärkung von Grund- und Persönlichkeitsrechten, für die gerade die Kolleginnen und Kollegen der S&D-Fraktion in Brüssel seit Monaten gekämpft haben. Gleichzeitig bleibt ausreichend Raum für Innovation, die wir im technologischen Wettstreit mit China und den USA brauchen.

Dem EP ist es außerdem gelungen, auch im Kontext einer rasanten Entwicklung von ChatGPT und Co. eine passgenaue Regulierung für generative KI zu entwickeln. Damit sind wir als Teil der Europäischen Union die Ersten, die über Selbstverpflichtungen und Kodizes hinausgehende, verbindliche Regeln für Entwicklung und Einsatz solcher Anwendungen schaffen – ein großer Erfolg“

Armand Zorn, zuständiger Berichterstatter:

„Nun gilt es, im Rahmen des Trilogs an den Errungenschaften des EP-Beschlusses festzuhalten und diese nicht zu verwässern. So darf zum Beispiel an beschlossenen Verboten von KI-Systemen, von denen hohe Risiken für die Grund- und Persönlichkeitsrechte von Bürgerinnen und Bürgern ausgehen, nicht mehr gerüttelt werden. Weiterhin sieht die SPD-Bundestagsfraktion den Bedarf, an bestehenden Schwachstellen nachzubessern. Eine große Lücke könnte sich etwa in der Konformitätsbewertung von Hochrisiko-Systemen auftun. Ursprüngliche Vorschläge sahen vor, dass Unternehmen diese Prüfungen selbst durchführen und sich somit selbst eine sichere KI-Anwendung zertifizieren können.

Die Wirkmacht des AI Acts wird in großen Teilen auch an seiner Umsetzung auf nationaler Ebene hängen. Hier müssen wir die richtigen Weichen jetzt stellen. Die Wahl einer nationalen Aufsichtsbehörde, die Erarbeitung von industriellen Standards und Normen und der Aufbau eines nationalen KI-Transparenzregisters für die öffentliche Verwaltung sind wichtige Bestandteile.“","Der EU-Artificial Intelligence Act (AIA) ist der weltweit erste umfassende Regulierungsvorschlag zu vertrauenswürdiger KI. Heute hat das Europäische Parlament (EP) nach intensiven Debatten seine Position zum AIA beschlossen. Der Text legt einen Fokus auf die Sicherung von Grund- und Freiheitsrechten, stärkt Betroffene von KI-Entscheidungen und ebnet den Weg für Innovation.",Parsa Marvi,", zuständiger Berichterstatter: ",Armand Zorn,", zuständiger Berichterstatter:",NA,NA,NA,NA,14.06.2023,20. Wahlperiode,106,Digitales,"Parsa Marvi, Armand Zorn",Digitales/Netzpolitik,PDF,NA,https://www.spdfraktion.de/presse/pressemitteilungen/ki-verordnung-ep-beschluss-bekenntnis-europaeischen-werten
KulturPass startet heute,"Dirk Wiese, stellvertretender Fraktionsvorsitzender;Helge Lindh, Sprecher der AG Kultur und Medien:

Mit der Einführung des KulturPasses startet heute ein kulturpolitisches Pionierprojekt, das jungen Menschen im Alter von 18 Jahren die Türen zu Kinos, Museen, Konzerten und vielem mehr öffnet und gleichzeitig die Kulturbranche nachhaltig stärkt. Die SPD-Fraktion im Bundestag freut sich sehr über diese Möglichkeit kultureller Emanzipation und sozialer Teilhabe.

„Junge Menschen im Alter von 18 Jahren können ab heute ein zweites Mal Geburtstag feiern. Denn mit der Einführung des KulturPasses steht ihnen über eine App ein Guthabenwert von insgesamt 200 Euro zur Verfügung. Das Guthaben können sie frei und selbstbestimmt für ein breites Kulturangebot deutschlandweit einlösen. Mit dem KulturPass können Theaters, Kinos, Museen oder Konzerten besucht, oder Bücher, Tonträger, Musikinstrumente und vieles mehr gekauft werden. Wir freuen uns sehr über dieses Angebot, das jungen Menschen unabhängig von Herkunft und sozialem Hintergrund die Teilhabe an Kultur vor Ort ermöglicht.

Die Einführung des KulturPasses bedeutet dabei gleichzeitig eine Art Doppel-Booster. Denn mit ihm wollen wir nicht nur junge Menschen für Kultur begeistern, sondern gleichzeitig die Kulturbranche durch diesen öffentlichen Anreiz stärken. Auch sie hat nach wie vor mit den Folgen der Pandemie zu kämpfen und muss sich noch immer von den großen finanziellen Einbußen dieser Zeit erholen. Vor diesem Hintergrund begrüßen wir es sehr, dass sich so viele Kulturakteure an dem KulturPass beteiligen und diesen mit ihrem vielfältigen Angebot bereichern.“","Dirk Wiese, stellvertretender Fraktionsvorsitzender;Helge Lindh, Sprecher der AG Kultur und Medien:",Dirk Wiese,", stellvertretender Fraktionsvorsitzender;Helge Lindh, Sprecher der AG Kultur und Medien:",NA,NA,NA,NA,NA,NA,14.06.2023,20. Wahlperiode,105,Kultur und Medien,"Dirk Wiese (Stellvertretender Fraktionsvorsitzender), Helge Lindh",Kultur,PDF,NA,https://www.spdfraktion.de/presse/pressemitteilungen/kulturpass-startet-heute
Tourismus in Deutschland stellt sich robust auf,"Am Montag fand die erste Tourismuskonferenz der SPD-Bundestagsfraktion statt mit rund 150 Teilnehmenden aus ganz Deutschland. Dort gab es die Möglichkeit zum Austausch und die Praktiker:innen aus den Destinationen als auch die SPD-Tourismuspolitiker:innen konnten wertvolle Erkenntnisse gewinnen.

Stefan Zierke, tourismuspolitischer Sprecher der SPD-Bundestagsfraktion:
„Die Konferenz hat gezeigt, dass der Tourismus in Deutschland enorm gut aufgestellt ist. Er schafft es, Nachhaltigkeit und individuelle Urlaubsansprüche vor Ort in Einklang zu bringen und so einen erheblichen Beitrag zum Klimaschutz zu leisten. Die Branchenvertreter entwickeln neue Ansätze für unsere Urlaubsregionen, um Gäste für sich zu gewinnen.

Klar ist aber auch: Die Branche steht vor immensen Herausforderungen. Der Fach- und Arbeitskräftemangel hinterlässt deutliche Spuren. Einige Destinationen können teilweise nicht mehr ihr gesamtes Angebot zur Verfügung stellen, weil es an Personal fehlt. Auch die Gewinnung von Saisonarbeitskräften läuft nicht überall rund. Hier braucht es mehr Planungssicherheit.

Positiv angenommen haben die Touristiker:innen die Kurzarbeiterregelung, die die Branche gut über die schwierige Zeit brachte. Ebenso wurde deutlich, wie wichtig die Vernetzung der touristischen Leistungsträger:innen von kommunaler Ebene über Land und Bund ist.

Strategische Partnerschaften sind für eine erfolgreiche Vermarktung und Entwicklung der Destinationen essentiell. Für die SPD-Bundestagsfraktion wird dies ein guter Ansatz für die Nationale Tourismusstrategie sein.

Die praktischen Hinweise und Ideen der Teilnehmenden werden wir im Rahmen der Gesetzgebung beachten.“

Lena Werner, stellvertretende tourismuspolitische Sprecherin:
„Es ist von substanzieller Bedeutung, dass wir als Tourismuspolitiker:innen die Stimmen derer hören, die in der ersten Reihe der Tourismusbranche stehen. Dank des wertvollen Austausches wissen wir nun, wo in der Praxis der Schuh drückt, welche Entwicklungen und Trends sich abzeichnen und wie die Branche und die Politik bei einer nachhaltigen Entwicklung des Tourismus Hand in Hand zusammenarbeiten können.“",Am Montag fand die erste Tourismuskonferenz der SPD-Bundestagsfraktion statt mit rund 150 Teilnehmenden aus ganz Deutschland. Dort gab es die Möglichkeit zum Austausch und die Praktiker:innen aus den Destinationen als auch die SPD-Tourismuspolitiker:innen konnten wertvolle Erkenntnisse gewinnen.,Stefan Zierke,", tourismuspolitischer Sprecher der SPD-Bundestagsfraktion:",Lena Werner,", stellvertretende tourismuspolitische Sprecherin:",NA,NA,NA,NA,13.06.2023,20. Wahlperiode,104,Tourismus,"Stefan Zierke, Lena Werner",Tourismus,PDF,NA,https://www.spdfraktion.de/presse/pressemitteilungen/tourismus-deutschland-stellt-robust
Kinderschutz geht uns alle an,"Heute hat die SPD-Bundestagsfraktion das Positionspapier „Kinder vor sexualisierter Gewalt schützen“ verabschiedet. Die Bekämpfung von Kindesmissbrauch und die Eindämmung des Bildmaterials dieses Missbrauchs ist eine gesamtgesellschaftliche Aufgabe, die nicht durch eine Einzelmaßnahme gelöst werden kann. Mit diesem Papier, das gemeinsam mit Expert*innen aus den Bereichen Strafverfolgung, Cybergrooming, IT-Sicherheit und Kinderschutz erarbeitet wurde, legt die Fraktion einen umfassenden Handlungskatalog für Aufarbeitung, Prävention und Strafverfolgung vor.

Daniel Baldy, zuständiger familienpolitischer Berichterstatter:
„Die SPD-Bundestagsfraktion verfolgt mit diesem Positionspapier einen ganzheitlichen Ansatz. Denn Kinderschutz müssen wir vom Neugeborenen bis zum 17-jährigen Jugendlichen denken. Wir alle sind gefragt in der digitalen und der realen Welt, in Kommune, Land und Bund, in der Heimat und auf Reisen, in der Familie, dem Freundeskreis und der Nachbarschaft, in Kita, Schule und Hort und in Sportvereinen, Feriencamps und Jugendverbänden.“

Anna Kassautzki, zuständige digitalpolitische Berichterstatterin:
„Der Kampf gegen sexuellen Missbrauch von Kindern und die Verbreitung von Missbrauchsdarstellungen ist ein gesellschaftliches Problem und geht uns alle an. Jeder Darstellung von Kindesmissbrauch im Netz geht ein Kindesmissbrauch voraus. Obwohl die meisten Übergriffe im sozialen Nahfeld stattfinden, glauben 85 Prozent der Befragten, dass das in ihrem Umfeld nicht vorkommt. Ein solches gesellschaftliches Problem lösen wir nicht rein technisch, sondern mit einer Vielzahl an Maßnahmen. Wir wollen nicht die Symptome bekämpfen, sondern das Problem an der Wurzel packen. Das Positionspapier soll einen Weg aufzeigen, wie das gelingen kann.“

Carmen Wegge, zuständige innen- und rechtspolitische Berichterstatterin:
„Eltern verstehen unter dem Schutz ihrer Kinder oft die Erziehung mit der Warnung ‚Geh nicht mit Fremden mit!‘ Das war und ist immer noch eine Warnung, die den Kindern einen falschen Eindruck vermittelt, denn: Dreiviertel der Fälle sexualisierter Gewalt geschehen nicht, weil Kinder von Fremden missbraucht werden. Sie geschehen im sozialen Nahfeld. Auch die Debatten, die wir aktuell führen, können einen irreführenden Eindruck vom Schutz von Kindern vermitteln. Wir reden viel über die Strafverfolgung von Online-Abbildungen sexualisierter Gewalt. Jedes Kind, dass online sexualisierte Gewalt erfährt, befindet sich aber vor einem Bildschirm, in der realen Welt, umgeben von Eltern, Familienangehörigen, Nachbar*innen, Erzieher*innen und Lehrer*innen. Wir müssen Kindesmissbrauch deshalb vor allem offline bekämpfen, ohne die Online-Dimension aus den Augen zu verlieren.“","Heute hat die SPD-Bundestagsfraktion das Positionspapier „Kinder vor sexualisierter Gewalt schützen“ verabschiedet. Die Bekämpfung von Kindesmissbrauch und die Eindämmung des Bildmaterials dieses Missbrauchs ist eine gesamtgesellschaftliche Aufgabe, die nicht durch eine Einzelmaßnahme gelöst werden kann. Mit diesem Papier, das gemeinsam mit Expert*innen aus den Bereichen Strafverfolgung, Cybergrooming, IT-Sicherheit und Kinderschutz erarbeitet wurde, legt die Fraktion einen umfassenden Handlungskatalog für Aufarbeitung, Prävention und Strafverfolgung vor.",Daniel Baldy,", zuständiger familienpolitischer Berichterstatter:",Anna Kassautzki,", zuständige digitalpolitische Berichterstatterin:",Carmen Wegge,", zuständige innen- und rechtspolitische Berichterstatterin:",NA,NA,13.06.2023,20. Wahlperiode,103,"Familie, Senioren, Frauen und Jugend, Digitales, Recht","Daniel Baldy, Anna Kassautzki, Carmen Wegge",Position: Kinder vor sexualisierter Gewalt schützen,"Familien, Kinder, Digitales/Netzpolitik, Rechtspolitik",PDF,https://www.spdfraktion.de/presse/pressemitteilungen/kinderschutz-geht-uns-alle
Ökoregelungen: Zukunftsfähige Agrarförderung auf den Weg bringen,"Franziska Kersten, zuständige Berichterstatterin:

Der Umbau der Gemeinsamen Europäischen Agrarpolitik kann nur gelingen, wenn das zentrale Element der Ökoregelungen deutlich stärker in der Landwirtschaft verankert wird.

„Mit der Reform der Gemeinsamen Europäischen Agrarpolitik wurde das Instrument der Ökoregelungen eingeführt, um Leistungen der Landwirtschaft für mehr Artenvielfalt und zum Schutz von Natur und Boden gezielt zu honorieren. Nach dem diesjährigen Antragschluss ist klar: Die Nutzung der neuen Regelungen durch die Landwirtschaft ist deutlich hinter den Erwartungen zurückgeblieben.

Daher brauchen wir jetzt dringend Nachbesserungen bei den Prämienhöhen und den konkreten Fördervoraussetzungen. Auch eine Vereinfachung des Verwaltungsverfahrens ist notwendig. Perspektivisch sollte zudem eine Ausweitung der Ökoregelungen ermöglicht werden, um auch Nährstoffkreisläufe sowie Weidehaltung und Grünland stärker mitzudenken.

Die Europäische Agrarförderung kann nur dann der Landwirtschaft und den ländlichen Räumen eine Zukunft bieten, wenn sie gesellschaftlich akzeptiert ist und Ökonomie mit Ökologie in Einklang bringt. Die Honorierung gesellschaftlich erwünschter Leistungen ist der Schlüssel dazu. Die Einführung der Ökoregelungen war der erste maßgebliche Schritt in diese Richtung. Wir erwarten vom Bundeslandwirtschaftsministerium zeitnah Vorschläge, wie die Attraktivität der Ökoregelungen gesteigert und die Ausschöpfung der hierfür vorgesehenen Mittel gewährleistet werden kann. Dann wird der Umbau der Agrarförderung erfolgreich sein.“","Franziska Kersten, zuständige Berichterstatterin:","Franziska Kersten,", zuständige Berichterstatterin,:,NA,NA,NA,NA,NA,13.06.2023,20. Wahlperiode,102,Ernährung und Landwirtschaft,Dr. Franziska Kersten,"Ernährung, Landwirtschaft",PDF,NA,https://www.spdfraktion.de/presse/pressemitteilungen/oekoregelungen-zukunftsfaehige-agrarfoerderung-weg-bringen
Recht auf kostenlose Schuldnerberatung ist wichtiger denn je,"Nadine Heselhaus, verbraucherpolitische Sprecherin:

In Zeiten hoher Inflation rücken die Schuldnerberatungsverbände das Thema Verbraucherüberschuldung mit einer Aktionswoche in den Fokus. Die SPD-Bundestagsfraktion unterstützt die Forderungen nach einem Recht auf kostenlose Schuldnerberatung und Pfändungsschutz für staatliche Krisenhilfen.

„Die Inflation ist kein Gespenst, sondern Realität. Sie trifft alle Menschen in unserem Land, einige jedoch härter als andere. Neben Transferleistungsbeziehenden leiden auch Rentnerinnen, Rentner und einkommensschwächere Berufstätige unter den hohen Preisen für Energie, Lebensmittel und andere Bedarfsgüter. Wer seine Rechnungen dauerhaft nicht mehr bezahlen kann, droht in eine Abwärtsspirale zu geraten, an deren Ende Überschuldung steht. Eine Zunahme der Zahl überschuldeter Privathaushalte gilt es unbedingt zu vermeiden, wenn wir den gesellschaftlichen Zusammenhalt sichern wollen.

Die Erfahrungen der Praktikerinnen und Praktiker zeigen ganz klar: Je früher Betroffene professionelle Beratung in Anspruch nehmen, desto besser können individuelle Lösungen für ihre Schuldenprobleme gefunden werden. Das hilft am Ende auch den Gläubigern, zu denen häufig staatliche Stellen gehören. Es darf nicht sein, dass Menschen keine Hilfe erhalten, weil sie die Kosten für die Beratung nicht stemmen können oder vor Ort kein Angebot finden. Ein bundesweites Recht auf kostenlose Schuldnerberatung für alle Hilfesuchenden ist deshalb überfällig. Dies muss flankiert werden durch eine bessere und stetige Finanzierung, damit ein flächendeckendes Beratungsnetz der wachsenden Nachfrage gerecht werden kann.

Zudem müssen Krisenhilfen wie die Energiepreispauschale oder die Inflationsausgleichsprämie grundsätzlich vor Pfändung geschützt sein. Diese Hilfen sind nicht für die Gläubiger bestimmt, denn sie dienen eindeutig dem Zweck, Krisenfolgen für die Menschen abzumildern.“","Nadine Heselhaus, verbraucherpolitische Sprecherin:","Nadine Heselhaus, ",verbraucherpolitische Sprecherin:,NA,NA,NA,NA,NA,NA,12.06.2023,20. Wahlperiode,101,"Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz",Nadine Heselhaus,"Umwelt, Naturschutz, Verbraucherschutz",PDF,NA,https://www.spdfraktion.de/presse/pressemitteilungen/recht-kostenlose-schuldnerberatung-wichtiger-denn-je
