title,fulltext,prompt,authors_1,authors_2,authors_3,authors_4,authors_5,authors_6,authors_7,authors_8,authors_9,meta_1,meta_2,meta_3,meta_4,meta_5,meta_6,meta_7,meta_8,url
Rolf Mützenich zum Vorsitzenden wiedergewählt,"Der Pressesprecher der SPD-Bundestagsfraktion Ali von Wangenheim teilt mit:

„Rolf Mützenich ist heute mit großer Mehrheit als Vorsitzender der SPD-Fraktion im Bundestag wiedergewählt worden.

In geheimer Wahl erhielt er von 204 abgegebenen gültigen Stimmen 198 Ja-Stimmen – das sind 97 Prozent. 4 Abgeordnete stimmten mit Nein. 2 Abgeordnete haben sich enthalten.""",Der Pressesprecher der SPD-Bundestagsfraktion Ali von Wangenheim teilt mit:,Der Pressesprecher der SPD-Bundestagsfraktion Ali von Wangenheim teilt mit:,NA,NA,NA,NA,NA,NA,NA,NA,29.09.2021,19. Wahlperiode,310,Dr. Rolf Mützenich (Fraktionsvorsitzende/r),PDF,NA,NA,NA,https://www.spdfraktion.de/presse/pressemitteilungen/rolf-muetzenich-vorsitzenden-wiedergewaehlt
Welttourismustag wirbt für inklusives Wachstum,"Am 27. September ist Welttourismustag. Unter dem diesjährigen Motto „Inklusives Wachstum“ macht der Welttourismustag auf einen zukunftsfähigen, global nachhaltigen Tourismus aufmerksam.

Gabriele Hiller-Ohm, tourismuspolitische Sprecherin:

„Tourismus ist ein Wirtschaftsmotor und schafft Arbeitsplätze. Die Corona-Pandemie hat aber auch gezeigt, dass wir bessere Arbeitsbedingungen und vor allem auch attraktivere Ausbildungsplätze brauchen, um den Tourismus krisenfest zu machen und den Fachkräftemangel zu bekämpfen. Mit einer bundesweiten Tourismusstrategie wollen wir gemeinsam mit den Menschen vor Ort neue Konzepte der Zusammenarbeit entwickeln – weg vom Massentourismus, hin zu regionalen, umweltschonenden Ansätzen. Gerade in hektischen Zeiten wie diese ist es wichtig, dass alle Menschen Zugang zu Erholung haben; auch mit knappem Budget oder Handicap.“","Am 27. September ist Welttourismustag. Unter dem diesjährigen Motto „Inklusives Wachstum“ macht der Welttourismustag auf einen zukunftsfähigen, global nachhaltigen Tourismus aufmerksam.",Gabriele Hiller-Ohm,", tourismuspolitische Sprecherin:",NA,NA,NA,NA,NA,NA,NA,25.09.2021,19. Wahlperiode,309,Tourismus,Gabriele Hiller-Ohm,Tourismus,PDF,NA,https://www.spdfraktion.de/presse/pressemitteilungen/welttourismustag-wirbt-inklusives-wachstum
Rechtsanspruch auf Ganztagsbetreuung kommt,"Nach intensiven Verhandlungen haben sich Bund und Länder gestern Abend auf die Umsetzung eines Rechtsanspruchs auf Ganztagsbetreuung für Grundschulkinder geeinigt. Sofern Bundestag und Bundesrat noch zustimmen, haben Kinder der ersten Klasse ab August 2026 einen Anspruch auf ganztägige Förderung. Danach kommt jedes Jahr eine weitere Klassenstufe dazu. Ab 2029 gilt der Anspruch dann für alle Kinder von der 1. bis zur 4. Klasse.

Katja Mast, stellvertretende Vorsitzende der SPD-Fraktion im Bundestag:

""Es ist ein Riesenerfolg für Kinder und Familien, dass wir zum Abschluss dieser Legislaturperiode dieses wichtige Vorhaben noch umsetzen können - dafür hat die SPD-Fraktion im Bundestag lange und beharrlich gekämpft. Mit dem Rechtsanspruch sorgen wir für mehr Chancengleichheit und dafür, dass nach der Kita die Vereinbarkeit von Familie und Beruf überall möglich wird. In der nächsten Legislaturperiode wollen wir daran anknüpfen und mit der Kindergrundsicherung und dem Vier-Säulen-Modell für mehr Familienzeit die Rahmenbedingungen für Kinder und Familien weiter verbessern. Die SPD-Fraktion im Bundestag setzt alles daran, dass alle Kinder bestmöglich ins Leben starten und die Unterstützung bekommen, die sie brauchen"".

Sönke Rix, familienpolitischer Sprecher:

""Der Bund ist den Ländern erneut deutlich entgegengekommen. Neben den Investitionen für den Ausbau in Höhe von bis zu 3,5 Milliarden Euro beteiligt sich der Bund ab 2026 stufenweise an den Betriebskosten - ab 2030 mit bis zu 1,3 Milliarden Euro pro Jahr. Damit investieren wir in die Zukunft unserer Kinder und sorgen dafür, dass alle Kinder unabhängig von ihrer Herkunft beste Bildungs- und Teilhabechancen bekommen"".","Nach intensiven Verhandlungen haben sich Bund und Länder gestern Abend auf die Umsetzung eines Rechtsanspruchs auf Ganztagsbetreuung für Grundschulkinder geeinigt. Sofern Bundestag und Bundesrat noch zustimmen, haben Kinder der ersten Klasse ab August 2026 einen Anspruch auf ganztägige Förderung. Danach kommt jedes Jahr eine weitere Klassenstufe dazu. Ab 2029 gilt der Anspruch dann für alle Kinder von der 1. bis zur 4. Klasse. ",Katja Mast,", stellvertretende Vorsitzende der SPD-Fraktion im Bundestag:",Sönke Rix,", familienpolitischer Sprecher:",NA,NA,NA,NA,NA,07.09.2021,19. Wahlperiode,303,"Familie, Senioren, Frauen und Jugend","Katja Mast (Stellvertretende Fraktionsvorsitzende), Sönke Rix","Bildung, Familien",PDF,NA,https://www.spdfraktion.de/presse/pressemitteilungen/rechtsanspruch-ganztagsbetreuung-kommt
Das „Aufbauhilfegesetz 2021“ macht Weg für den schnellen Wiederaufbau frei,"Kirsten Lühmann, verkehrspolitische Sprecherin;Mathias Stein, zuständiger Berichterstatter;Detlef Müller, zuständiger Berichterstatter:

Nach der schnellen Bereitstellung von Soforthilfen durch Finanzminister Olaf Scholz sichern wir den Wiederaufbau nun durch die Einrichtung eines Solidaritätsfonds „Aufbauhilfe 2021“. Dafür stellen Bund und Länder insgesamt 30 Milliarden Euro zur Verfügung.

„Für den Verkehrsbereich geht es vor allem darum, notwendige Ersatzneubauten für die Infrastruktur schnell zu planen und umzusetzen. Dies ermöglichen wir, indem wir auf langwierige Planfeststellungsverfahren für Ersatzneubauten verzichten. Das gilt auch und insbesondere, wenn Erweiterungen von Bauwerken zum Schutz vor Naturkatastrophen errichtet werden. Für die SPD-Bundestagsfraktion muss zudem sichergestellt sein, dass Ersatzneubauten auf dem neusten Stand der Technik erfolgen.

Die SPD-Bundestagsfraktion setzt sich dafür ein, dass ein unbürokratischer Mittelabfluss gesichert wird und die Mittel schnell dort ankommen, wo sie gebraucht werden. Wir begrüßen, dass die betroffenen Länder Erleichterungen in der Vergabepraxis für die Kommunen geschaffen haben. Zusätzlich sehen wir es als notwendig an, dass auch auf europäischer Ebene möglichst zügig Anstrengungen unternommen werden, Katastrophenfälle noch klarer als bisher im EU-Vergaberecht zu verankern.“","Kirsten Lühmann, verkehrspolitische Sprecherin;Mathias Stein, zuständiger Berichterstatter;Detlef Müller, zuständiger Berichterstatter: ",Kirsten Lühmann,", verkehrspolitische Sprecherin;Mathias Stein, zuständiger Berichterstatter;Detlef Müller, zuständiger Berichterstatter: ",NA,NA,NA,NA,NA,NA,NA,03.09.2021,19. Wahlperiode,301,Verkehr und digitale Infrastruktur,"Kirsten Lühmann, Mathias Stein, Bettina Müller","Verkehr, Bauen und Stadtentwicklung",PDF,NA,https://www.spdfraktion.de/presse/pressemitteilungen/aufbauhilfegesetz-2021-macht-weg-schnellen-wiederaufbau-frei
Genossenschaftliche Förderung endlich ernst nehmen,"Bernhard Daldrup, baupolitischer Sprecher:

Genossenschaften sind neben der privaten und kommunalen Wohnungswirtschaft ein verlässlicher Partner der Wohnungswirtschaft, um die Bevölkerung mit ausreichendem Wohnraum zu versorgen. Um die Eigentumsbildung gerade bei steigenden Bodenpreisen auch im Ballungsraum zu erleichtern, sollte der Kauf von Genossenschaftsanteilen besser gefördert werden. Das war auch eine Verabredung im Koalitionsvertrag.

„Es ist völlig inakzeptabel, dass die Corona-bedingten Verzögerungen zur Umsetzung des Programms jetzt dazu führen, dass das Programm gar nicht aktualisiert wird. Das ist ein schwerwiegendes Versäumnis der KfW und gleichermaßen des zuständigen Ministers Horst Seehofer. Es ist schlicht und ergreifend nicht akzeptabel und angesichts der Lage auf dem Wohnungsmarkt auch nicht nachvollziehbar, wenn die Umsetzung weiterhin verhindert wird. Gerade kleinere, neu gegründete Wohnungsgenossenschaften, die dringend auf Förderungen angewiesen sind, warten auf dieses Programm. GdW-Präsident Axel Gedaschko kritisiert zu Recht, dass durch dieses Versäumnis ein wichtiger Baustein der Wohnraumoffensive auf der Strecke bleibt.

Neben den galoppierenden Baukosten und dem Ausbremsen beim Genossenschaftsprogramm ist einer der Gründe für teures Wohnen der stete Preisanstieg beim Bauland, das nach Angaben des Statistischen Bundesamtes im Jahr 2020 mit 199 Euro pro Quadratmeter einen Rekordwert erreicht hat. Zehn Jahre zuvor hatte der Durchschnittspreis noch bei 130 Euro gelegen. Daher muss die Politik sich dringend ums Bauland kümmern und die Spekulation von Investoren ins Bauland beenden. Wir werden uns bei einer neuen Regierungsverantwortung dafür einsetzen, dass die bislang nach einer Zehn-Jahres-Frist geltende Steuerfreiheit für Veräußerungsgewinne nicht selbst genutzter Grundstücke abgeschafft und einen Planungswertausgleich eingeführt wird, um leistungslose Bodenwertgewinne der Allgemeinheit zukommen zu lassen.“","Bernhard Daldrup, baupolitischer Sprecher:",Bernhard Daldrup,", baupolitischer Sprecher:",NA,NA,NA,NA,NA,NA,NA,27.08.2021,19. Wahlperiode,297,"Bau, Wohnen, Stadtentwicklung und Kommunen",Bernhard Daldrup,"Bauen und Stadtentwicklung, Mieten und Wohnen",PDF,NA,https://www.spdfraktion.de/presse/pressemitteilungen/genossenschaftliche-foerderung-endlich-ernst-nehmen
Gesundheitsminister folgt Aufforderung der SPD-Fraktion nach Gesetzesänderung,"Die SPD-Bundestagsfraktion fordert bereits seit Anfang des Jahres, neben den Inzidenzwerten auch die Hospitalisierungsrate und die Intensivbettenauslastung als Maßstab für die Bewertung der Pandemie heranzuziehen. Die CDU/CSU-Fraktion hat eine Gesetzesänderung hierzu stets abgelehnt. Rechts- und Gesundheitspolitiker der SPD-Bundestagsfraktion begrüßen, dass Jens Spahn sich nun ihrer Auffassung angeschlossen hat.

Sabine Dittmar, gesundheitspolitische Sprecherin:

„Der Inzidenzwert ist als Frühwarnsystem weiterhin wichtig. Er hat mit steigender Impfquote allerdings eine andere Aussagekraft als bisher. Um die Dynamik des Infektionsgeschehens und die damit einhergehende Belastung des Gesundheitssystems präziser bewerten zu können, ist eine Berücksichtigung weiterer Indikatoren wie der Hospitalisierungsrate und der Intensivbettenauslastung sinnvoll. Eine Gesetzesänderung ist daher der richtige Schritt, um Einheitlichkeit und Rechtssicherheit im Pandemiemanagement zu erzielen. Ich begrüße es, dass sich der Gesundheitsminister nun nach über einem halben Jahr unserer Forderung angeschlossen hat.“

Johannes Fechner, rechtspolitischer Sprecher:

„Der Inzidenzwert allein gibt keine Auskunft über die Gefahr für die Bevölkerung. Gut, dass Herr Spahn das jetzt auch endlich erkannt hat. Die CDU/CSU-Fraktion hat eine Gesetzesänderung hierzu noch letzte Woche abgelehnt. Wenn die Inzidenzen steigen, aber wegen hoher Impfquote weniger Bürger ins Krankenhaus müssen, liegt keine Gefahr vor, die erhebliche Grundrechtseingriffe rechtfertigen könnte. Wir planen deshalb in der Sondersitzung des Bundestags im September zu regeln, dass die Krankenhausauslastung das entscheidende Kriterium wird, ob eine Gefahr für die Bevölkerung besteht, die Schutzmaßnahmen erfordert und rechtfertigt. Wir haben einen konkreten Formulierungsvorschlag vorgelegt. Die Antwort von Herrn Spahn hierauf scheint nun ein Gesetzesentwurf zu sein. Wir sind gespannt, ob Herr Spahn sich in seiner Fraktion durchsetzt.""","Die SPD-Bundestagsfraktion fordert bereits seit Anfang des Jahres, neben den Inzidenzwerten auch die Hospitalisierungsrate und die Intensivbettenauslastung als Maßstab für die Bewertung der Pandemie heranzuziehen. Die CDU/CSU-Fraktion hat eine Gesetzesänderung hierzu stets abgelehnt. Rechts- und Gesundheitspolitiker der SPD-Bundestagsfraktion begrüßen, dass Jens Spahn sich nun ihrer Auffassung angeschlossen hat.",Sabine Dittmar,", gesundheitspolitische Sprecherin:",Johannes Fechner,", rechtspolitischer Sprecher:",NA,NA,NA,NA,NA,23.08.2021,19. Wahlperiode,294,Recht und Verbraucherschutz,"Dr. Johannes Fechner, Sabine Dittmar","Gesundheit, Rechtspolitik, Verbraucherschutz",PDF,NA,https://www.spdfraktion.de/presse/pressemitteilungen/gesundheitsminister-folgt-aufforderung-spd-fraktion-gesetzesaenderung
Baldige Neuregelung der Nachzahlungs- und Erstattungszinsen,"Lothar Binding, finanzpolitischer Sprecher:

Das Bundesverfassungsgericht hat die geltende Verzinsung von Steuernachforderungen und Steuererstattungen mit einem Zinssatz von sechs Prozent für verfassungswidrig erklärt. Erforderlich ist jetzt eine baldige Neuregelung auf der Basis eines niedrigeren Zinssatzes.

„Das Bundesverfassungsgericht hat entschieden, dass die Verzinsung von Steuernachforderungen und Steuererstattungen, die jeweils 15 Monate zinsfrei sind und anschließend mit jährlich sechs Prozent verzinst werden, nicht mehr realitätsgerecht und deshalb verfassungswidrig sei.

Mit seiner Entscheidung hat das Gericht einen Rahmen für die Neuregelung vorgegeben, die nun zügig in der nächsten Wahlperiode bis Juli 2022 umgesetzt werden und auf einem realitätsgerechten Zinssatz beruhen muss.

Nach den Vorgaben des Bundesverfassungsgerichts muss sich die Neuregelung rückwirkend auf das Jahr 2019 erstrecken. Es bewährt sich nun, dass Bund und Länder die Zinsbescheide bis zu der Entscheidung des Bundesverfassungsgerichts vorläufig ergehen ließen. Die Steuerzahlerinnen und Steuerzahler können somit von der rückwirkenden Neuregelung profitieren.“","Lothar Binding, finanzpolitischer Sprecher:",",",finanzpolitischer Sprecher:,NA,NA,NA,NA,NA,NA,NA,19.08.2021,19. Wahlperiode,292,Finanzen,Lothar Binding (Heidelberg),Finanzmarkt,PDF,NA,https://www.spdfraktion.de/presse/pressemitteilungen/baldige-neuregelung-nachzahlungs-erstattungszinsen
SPD-Bundestagsfraktion erinnert an den 60. Jahrestag des Mauerbaus in Berlin,"Katrin Budde, zuständige Berichterstatterin:

Heute vor 60 Jahren, am 13. August 1961, begann das SED-Regime mit dem Bau der Berliner Mauer. Damit schloss sich für die Menschen in Ostdeutschland die letzte Fluchtmöglichkeit in die Freiheit. Die SPD-Bundestagsfraktion gedenkt all jenen Opfern, die durch das mörderische Grenzregime getötet und verletzt wurden. Und sie unterstützt den Aufbau eines „Zukunftszentrums für Deutsche Einheit und europäische Transformation“, damit aus dem Lernen über die Vergangenheit eine Lehre für die Zukunft wird.

""In den Jahren zwischen 1945 und 1989/90 wurden zahlreiche Menschen in der Sowjetischen Besatzungszone und DDR verfolgt, inhaftiert und ermordet. Allein an der Berliner Mauer starben mindestens 140 Menschen, weil sie der Unfreiheit der DDR und ihrer Repressionen entfliehen wollten. Der 60. Jahrestag des Mauerbaus am 13. August 2021 bringt uns das Schicksal dieser Todesopfer noch einmal stärker ins Bewusstsein.

Und obgleich inzwischen mehr Zeit seit dem Fall der Mauer vergangen ist, als sie überhaupt stand, ist das Unrecht des SED-Regimes nicht vergessen. Der Jahrestag ist uns eine ständige und wichtige Mahnung an die Opfer der kommunistischen Diktatur in Deutschland und an die Zeit der deutsch-deutschen Teilung. Die Zeit der SED-Diktatur muss weiter aufgebarbeitet werden, dafür stehen wir. Denn so etwas darf sich nicht wiederholen.

Ohne Erinnerung und Gedenken können wir unsere Zukunft nicht gestalten. Die SPD-Bundestagsfraktion unterstützt daher das Anliegen, ein ""Zukunftszentrum für Europäische Transformation und Deutsche Einheit"" zu errichten. Damit wollen wir uns weiterhin mit der Geschichte unseres Landes auseinandersetzen, aber auch die Debatte über den Stand und die Zukunft der inneren Einheit unseres Landes neu führen. Die SPD-Bundestagsfraktion wird sich dafür einsetzen, dass die Lebensleistung der Menschen in Ostdeutschland mehr Respekt erfährt.""","Katrin Budde, zuständige Berichterstatterin:","Katrin Budde, ",zuständige Berichterstatterin:,NA,NA,NA,NA,NA,NA,NA,13.08.2021,19. Wahlperiode,288,Kultur und Medien,Katrin Budde,Kultur,PDF,NA,https://www.spdfraktion.de/presse/pressemitteilungen/spd-bundestagsfraktion-erinnert-60-jahrestag-mauerbaus-berlin
Rundfunkbeitrag sichert Qualität des öffentlich-rechtlichen Rundfunks ," 

Die SPD-Bundestagsfraktion begrüßt die Entscheidung des Bundesverfassungsgerichts, der Beschwerde des öffentlich-rechtlichen Rundfunks stattzugeben. Die vorläufige Erhöhung des Rundfunkbeitrags stellt eine hochwertige Berichterstattung sicher. Zugleich unterstützen wir den notwendigen Reformprozess des Rundfunks.

Dirk Wiese, stellvertretender Fraktionsvorsitzender:

„Das Bundesverfassungsgericht hat mit seinem Urteil bekräftigt, dass der öffentlich-rechtliche Rundfunk essenziell für eine vielfältige und demokratische Gesellschaft ist. Auch wir finden, er bietet mit seiner qualitativ hochwertigen Berichterstattung unabhängige und zuverlässige Informationen und Einschätzungen. Die werden insbesondere in Zeiten von Fake-News, Filterblasen, und Deep Fakes im Netz dringend gebraucht.

Die SPD-Bundestagsfraktion begrüßt daher die Entscheidung des Bundesverfassungsgerichts. Sie bestätigt den verfassungsrechtlichen gebotenen Funktionsauftrag des Rundfunks und dessen Finanzierung. Zugleich rückt dieses Urteil auch die Welt für die Medienpolitiker der Union wieder zurecht, die - zumindest in Sachsen-Anhalt - immer wieder die Rundfunkfreiheit in Frage stellen.

Martin Rabanus, medienpolitischer Sprecher:

Das Bundesverfassungsgericht stellt klar: Das Land Sachsen-Anhalt hat mit seiner Blockade der geplanten Beitragserhöhung die Rundfunkfreiheit verletzt. Die Festsetzung der Rundfunkbeiträge muss frei von medienpolitischen Zwecksetzungen und bedarfsgerecht erfolgen, ohne jedwede Einflussnahme auf den Programmauftrag.

Bei aller Zustimmung zur Entscheidung gibt es aber auch berechtigte Kritik etwa an Programminhalten oder am Umgang mit Beitragsgeldern. Daher geht es im nächsten Schritt darum, den öffentlich-rechtlichen Rundfunk angemessen zu reformieren, und dabei die Vielfalt des Programms sowie die Arbeitsbedingungen für Medienschaffende zu stärken.

Wir unterstützen die Länder in diesem wichtigen Reformprozess und werben für die weitere Akzeptanz des öffentlich-rechtlichen Rundfunks in unserer Gesellschaft. Er ist Garant für verlässliche und unabhängige Berichterstattung und essenziell für unsere demokratische Gesellschaft.", ,Dirk Wiese,", stellvertretender Fraktionsvorsitzender:",Martin Rabanus,", medienpolitischer Sprecher:",NA,NA,NA,NA,NA,05.08.2021,19. Wahlperiode,283,Kultur und Medien,"Dirk Wiese (Stellvertretender Fraktionsvorsitzender), Martin Rabanus",Medien,PDF,NA,https://www.spdfraktion.de/presse/pressemitteilungen/rundfunkbeitrag-sichert-qualitaet-oeffentlich-rechtlichen-rundfunks
Mit einem Demokratiefördergesetz könnte es noch besser sein,"Das Bundesprogramm „Demokratie leben!“ wirkt. Es ist eine tragende Säule der Präventionsarbeit. Zu dem Ergebnis kommt der „Zweite Bericht über Arbeit und Wirksamkeit der Bundesprogramme zur Extremismusprävention“. Dauerhaft gestärkt würde dieser positive Trend mit dem Demokratiefördergesetz. Das Gesetz konnten wir in dieser Legislaturperiode mit CDU/CSU nicht verwirklichen, setzen uns aber weiterhin mit Nachdruck dafür ein.

Dirk Wiese, stellvertretender Fraktionsvorsitzender:

„Wir von der SPD-Bundestagsfraktion haben maßgeblich dafür gesorgt, dass das Programm für Demokratie und gegen Extremismus in dieser Legislaturperiode deutlich ausgeweitet wurde. Unter anderem fördern wir damit aktuell über 300 lokale Partnerschaften für Demokratie, 16 Landes-Demokratiezentren, diverse zivilgesellschaftliche Organisationen und zahlreiche Modellprojekte. Bis zum Jahr 2024 werden wir für das Programm insgesamt mehr als 600 Millionen Euro zur Verfügung stehen.“

Sönke Rix, familienpolitischer Sprecher:

„Unser Ziel ist es, langfristige zivilgesellschaftliche Netzwerke zu entwickeln und damit den gesellschaftlichen Zusammenhalt in unserer Gesellschaft zu stärken. Für die Daueraufgaben Demokratieförderung und Extremismusprävention brauchen wir dringend ein Demokratiefördergesetz. Während sich die Union bei dem Thema seitlich in die Büsche schlägt, engagiert sich die SPD-Bundestagsfraktion auch weiterhin für eine dauerhafte Stärkung der mutigen zivilgesellschaftlichen Initiativen.“","Das Bundesprogramm „Demokratie leben!“ wirkt. Es ist eine tragende Säule der Präventionsarbeit. Zu dem Ergebnis kommt der „Zweite Bericht über Arbeit und Wirksamkeit der Bundesprogramme zur Extremismusprävention“. Dauerhaft gestärkt würde dieser positive Trend mit dem Demokratiefördergesetz. Das Gesetz konnten wir in dieser Legislaturperiode mit CDU/CSU nicht verwirklichen, setzen uns aber weiterhin mit Nachdruck dafür ein.","Dirk Wiese, ",stellvertretender Fraktionsvorsitzender:,"Sönke Rix, ",familienpolitischer Sprecher:,NA,NA,NA,NA,NA,04.08.2021,19. Wahlperiode,282,"Familie, Senioren, Frauen und Jugend","Dirk Wiese (Stellvertretender Fraktionsvorsitzender), Sönke Rix",Demokratie,PDF,NA,https://www.spdfraktion.de/presse/pressemitteilungen/demokratiefoerdergesetz-koennte-noch-besser
